STATEFP,PLACEFP,PLACENS,GEOID,NAME,NAMELSAD,LSAD,CLASSFP,PCICBSA,PCINECTA,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,STATEFP_2,COUNTYFP,COUNTYNS,GEOID_2,NAME_2,NAMELSAD_2,LSAD_2,CLASSFP_2,MTFCC_2,CSAFP,CBSAFP,METDIVFP,FUNCSTAT_2,ALAND_2,AWATER_2,INTPTLAT_2,INTPTLON_2
"06","44364","02410891","0644364",Loyalton,Loyalton city,"25",C1,N,N,G4110,A,"920711","0","+39.6768545","-120.2448111","06","091","00277310","06091",Sierra,Sierra County,"06",H1,G4020,,,,A,"2468694582","23299110","+39.5769252","-120.5219926"
"06","00982","02582931","0600982",Alleghany,Alleghany CDP,"57",U1,N,N,G4210,S,"904298","0","+39.4666605","-120.8411258","06","091","00277310","06091",Sierra,Sierra County,"06",H1,G4020,,,,A,"2468694582","23299110","+39.5769252","-120.5219926"
"06","10004","02582957","0610004",Calpine,Calpine CDP,"57",U1,N,N,G4210,S,"1838557","5712","+39.6633810","-120.4392769","06","091","00277310","06091",Sierra,Sierra County,"06",H1,G4020,,,,A,"2468694582","23299110","+39.5769252","-120.5219926"
"06","19794","02583000","0619794",Downieville,Downieville CDP,"57",U1,N,N,G4210,S,"8237935","14330","+39.5786434","-120.8164052","06","091","00277310","06091",Sierra,Sierra County,"06",H1,G4020,,,,A,"2468694582","23299110","+39.5769252","-120.5219926"
"06","30420","02583027","0630420",Goodyears Bar,Goodyears Bar CDP,"57",U1,N,N,G4210,S,"5309072","43381","+39.5523540","-120.8931017","06","091","00277310","06091",Sierra,Sierra County,"06",H1,G4020,,,,A,"2468694582","23299110","+39.5769252","-120.5219926"
"06","40312","02408509","0640312",La Porte,La Porte CDP,"57",U1,N,N,G4210,S,"11543765","0","+39.6725081","-120.9852443","06","091","00277310","06091",Sierra,Sierra County,"06",H1,G4020,,,,A,"2468694582","23299110","+39.5769252","-120.5219926"
"06","41789","02408619","0641789",Little Grass Valley,Little Grass Valley CDP,"57",U1,N,N,G4210,S,"25897822","0","+39.7252456","-120.9590728","06","091","00277310","06091",Sierra,Sierra County,"06",H1,G4020,,,,A,"2468694582","23299110","+39.5769252","-120.5219926"
"06","57036","02583112","0657036",Pike,Pike CDP,"57",U1,N,N,G4210,S,"11194524","0","+39.4278430","-120.9996815","06","091","00277310","06091",Sierra,Sierra County,"06",H1,G4020,,,,A,"2468694582","23299110","+39.5769252","-120.5219926"
"06","70336","02583131","0670336",Sattley,Sattley CDP,"57",U1,N,N,G4210,S,"5302767","4699","+39.6299451","-120.4372753","06","091","00277310","06091",Sierra,Sierra County,"06",H1,G4020,,,,A,"2468694582","23299110","+39.5769252","-120.5219926"
"06","71774","02583138","0671774",Sierra Brooks,Sierra Brooks CDP,"57",U1,N,N,G4210,S,"3549115","0","+39.6425925","-120.2153873","06","091","00277310","06091",Sierra,Sierra County,"06",H1,G4020,,,,A,"2468694582","23299110","+39.5769252","-120.5219926"
"06","71778","02583139","0671778",Sierra City,Sierra City CDP,"57",U1,N,N,G4210,S,"5569937","728","+39.5726584","-120.6276165","06","091","00277310","06091",Sierra,Sierra County,"06",H1,G4020,,,,A,"2468694582","23299110","+39.5769252","-120.5219926"
