GEO_ID,GEOID_short,NAME,NAME,total_housing_unit,owner_occupied,renter_occupied
1600000US0600135,0600135,"Acalanes Ridge CDP, California",Acalanes Ridge CDP,875,788,87
1600000US0600156,0600156,"Acampo CDP, California",Acampo CDP,261,109,152
1600000US0600212,0600212,"Acton CDP, California",Acton CDP,7043,6416,627
1600000US0600296,0600296,"Adelanto city, California",Adelanto city,31469,17761,13708
1600000US0600310,0600310,"Adin CDP, California",Adin CDP,180,116,64
1600000US0600394,0600394,"Agoura Hills city, California",Agoura Hills city,20157,16135,4022
1600000US0600450,0600450,"Agua Dulce CDP, California",Agua Dulce CDP,3494,3084,410
1600000US0600464,0600464,"Aguanga CDP, California",Aguanga CDP,696,425,271
1600000US0600478,0600478,"Ahwahnee CDP, California",Ahwahnee CDP,2256,1434,822
1600000US0600535,0600535,"Airport CDP, California",Airport CDP,1276,450,826
1600000US0600562,0600562,"Alameda city, California",Alameda city,78693,42250,36443
1600000US0600618,0600618,"Alamo CDP, California",Alamo CDP,13818,12890,928
1600000US0600674,0600674,"Albany city, California",Albany city,20084,10055,10029
1600000US0600716,0600716,"Albion CDP, California",Albion CDP,113,113,0
1600000US0600786,0600786,"Alderpoint CDP, California",Alderpoint CDP,26,26,0
1600000US0600884,0600884,"Alhambra city, California",Alhambra city,83723,34101,49622
1600000US0600898,0600898,"Alhambra Valley CDP, California",Alhambra Valley CDP,1051,998,53
1600000US0600947,0600947,"Aliso Viejo city, California",Aliso Viejo city,49968,30363,19605
1600000US0600982,0600982,"Alleghany CDP, California",Alleghany CDP,99,99,0
1600000US0600996,0600996,"Allendale CDP, California",Allendale CDP,1421,1320,101
1600000US0601010,0601010,"Allensworth CDP, California",Allensworth CDP,596,274,322
1600000US0601094,0601094,"Almanor CDP, California",Almanor CDP,0,0,0
1600000US0601150,0601150,"Alondra Park CDP, California",Alondra Park CDP,7965,4272,3693
1600000US0601164,0601164,"Alpaugh CDP, California",Alpaugh CDP,869,189,680
1600000US0601192,0601192,"Alpine CDP, California",Alpine CDP,14757,10928,3829
1600000US0601228,0601228,"Alpine Village CDP, California",Alpine Village CDP,142,114,28
1600000US0601276,0601276,"Alta CDP, California",Alta CDP,681,628,53
1600000US0601290,0601290,"Altadena CDP, California",Altadena CDP,42454,30024,12430
1600000US0601358,0601358,"Alta Sierra CDP (Kern County), California",Alta Sierra CDP (Kern County),111,97,14
1600000US0601360,0601360,"Alta Sierra CDP (Nevada County), California",Alta Sierra CDP (Nevada County),7600,6969,631
