FIRE_NAME,INC_NUM,ALARM_DATE,CONT_DATE,CAUSE,GIS_ACRES,STATEFP,PLACEFP,PLACE_FIPS,PLACE_NAME,PLACE_NAME_TYPE,COUNTYFP,CNTY_FIPS,CNTY_NAME,CNTY_NAME_TYPE,Shape_Length,Shape_Area
AMORUSO,11799,2020-06-01,2020-06-04,2,685.585022,6,62938,662938,Roseville,Roseville city,61,6061,Placer,Placer County,9653.760308,2774464.034
VALLEY,15865,2020-07-15,2020-07-16,14,376.9104004,6,4576,604576,Beale AFB,Beale AFB CDP,115,6115,Yuba,Yuba County,7596.639583,1525302.298
DYER,15012,2020-07-06,2020-07-06,8,194.6602936,6,22524,622524,Elverta,Elverta CDP,67,6067,Sacramento,Sacramento County,6043.860007,787762.2706
DYER,15012,2020-07-06,2020-07-06,8,194.6602936,6,22524,622524,Elverta,Elverta CDP,61,6061,Placer,Placer County,6043.860007,787762.2706
PAVE PAWS,17717,2020-08-02,2020-08-02,11,532.7733154,6,4576,604576,Beale AFB,Beale AFB CDP,115,6115,Yuba,Yuba County,7847.30461,2156057.033
RIOSA,12970,2020-06-15,2020-06-15,11,13.6947174,6,71414,671414,Sheridan,Sheridan CDP,61,6061,Placer,Placer County,1354.188167,55420.55591
NELSON,6825,2020-06-17,2020-06-25,14,103.3315659,6,78470,678470,Thermalito,Thermalito CDP,7,6007,Butte,Butte County,4438.999349,418168.0109
CZU LIGHTNING COMPLEX,5205,2020-08-16,2020-09-24,1,86553.46094,6,5332,605332,Ben Lomond,Ben Lomond CDP,81,6081,San Mateo,San Mateo County,203187.7347,350269423.9
CZU LIGHTNING COMPLEX,5205,2020-08-16,2020-09-24,1,86553.46094,6,5332,605332,Ben Lomond,Ben Lomond CDP,87,6087,Santa Cruz,Santa Cruz County,203187.7347,350269423.9
CZU LIGHTNING COMPLEX,5205,2020-08-16,2020-09-24,1,86553.46094,6,7470,607470,Bonny Doon,Bonny Doon CDP,81,6081,San Mateo,San Mateo County,203187.7347,350269423.9
CZU LIGHTNING COMPLEX,5205,2020-08-16,2020-09-24,1,86553.46094,6,7470,607470,Bonny Doon,Bonny Doon CDP,87,6087,Santa Cruz,Santa Cruz County,203187.7347,350269423.9
CZU LIGHTNING COMPLEX,5205,2020-08-16,2020-09-24,1,86553.46094,6,7652,607652,Boulder Creek,Boulder Creek CDP,81,6081,San Mateo,San Mateo County,203187.7347,350269423.9
CZU LIGHTNING COMPLEX,5205,2020-08-16,2020-09-24,1,86553.46094,6,7652,607652,Boulder Creek,Boulder Creek CDP,87,6087,Santa Cruz,Santa Cruz County,203187.7347,350269423.9
CZU LIGHTNING COMPLEX,5205,2020-08-16,2020-09-24,1,86553.46094,6,8478,608478,Brookdale,Brookdale CDP,81,6081,San Mateo,San Mateo County,203187.7347,350269423.9
CZU LIGHTNING COMPLEX,5205,2020-08-16,2020-09-24,1,86553.46094,6,8478,608478,Brookdale,Brookdale CDP,87,6087,Santa Cruz,Santa Cruz County,203187.7347,350269423.9
CZU LIGHTNING COMPLEX,5205,2020-08-16,2020-09-24,1,86553.46094,6,18086,618086,Davenport,Davenport CDP,81,6081,San Mateo,San Mateo County,203187.7347,350269423.9
CZU LIGHTNING COMPLEX,5205,2020-08-16,2020-09-24,1,86553.46094,6,18086,618086,Davenport,Davenport CDP,87,6087,Santa Cruz,Santa Cruz County,203187.7347,350269423.9
CZU LIGHTNING COMPLEX,5205,2020-08-16,2020-09-24,1,86553.46094,6,23826,623826,Felton,Felton CDP,81,6081,San Mateo,San Mateo County,203187.7347,350269423.9
CZU LIGHTNING COMPLEX,5205,2020-08-16,2020-09-24,1,86553.46094,6,23826,623826,Felton,Felton CDP,87,6087,Santa Cruz,Santa Cruz County,203187.7347,350269423.9
CZU LIGHTNING COMPLEX,5205,2020-08-16,2020-09-24,1,86553.46094,6,42384,642384,Loma Mar,Loma Mar CDP,81,6081,San Mateo,San Mateo County,203187.7347,350269423.9
