FIPS_Code,County_FIPS_Code,County,State_FIPS_Code,State,value,month,year
06001,001,Alameda,06,CA,5424,Jan,2017
06001,001,Alameda,06,CA,5335,Feb,2017
06001,001,Alameda,06,CA,5213,Mar,2017
06001,001,Alameda,06,CA,5069,Apr,2017
06001,001,Alameda,06,CA,4919,May,2017
06001,001,Alameda,06,CA,4847,Jun,2017
06001,001,Alameda,06,CA,5286,Jul,2017
06001,001,Alameda,06,CA,5371,Aug,2017
06001,001,Alameda,06,CA,5364,Sep,2017
06001,001,Alameda,06,CA,5254,Oct,2017
06001,001,Alameda,06,CA,5209,Nov,2017
06001,001,Alameda,06,CA,5139,Dec,2017
06003,003,Alpine,06,CA,17,Jan,2017
06003,003,Alpine,06,CA,17,Feb,2017
06003,003,Alpine,06,CA,17,Mar,2017
06003,003,Alpine,06,CA,17,Apr,2017
06003,003,Alpine,06,CA,17,May,2017
06003,003,Alpine,06,CA,17,Jun,2017
06003,003,Alpine,06,CA,16,Jul,2017
06003,003,Alpine,06,CA,16,Aug,2017
06003,003,Alpine,06,CA,15,Sep,2017
06003,003,Alpine,06,CA,17,Oct,2017
06003,003,Alpine,06,CA,17,Nov,2017
06003,003,Alpine,06,CA,18,Dec,2017
06005,005,Amador,06,CA,374,Jan,2017
06005,005,Amador,06,CA,369,Feb,2017
06005,005,Amador,06,CA,357,Mar,2017
06005,005,Amador,06,CA,358,Apr,2017
06005,005,Amador,06,CA,350,May,2017
06005,005,Amador,06,CA,346,Jun,2017
06005,005,Amador,06,CA,345,Jul,2017
06005,005,Amador,06,CA,352,Aug,2017
06005,005,Amador,06,CA,348,Sep,2017
06005,005,Amador,06,CA,335,Oct,2017
06005,005,Amador,06,CA,326,Nov,2017
06005,005,Amador,06,CA,323,Dec,2017
06007,007,Butte,06,CA,4027,Jan,2017
06007,007,Butte,06,CA,4011,Feb,2017
06007,007,Butte,06,CA,3960,Mar,2017
06007,007,Butte,06,CA,3936,Apr,2017
06007,007,Butte,06,CA,3890,May,2017
06007,007,Butte,06,CA,3841,Jun,2017
06007,007,Butte,06,CA,3757,Jul,2017
06007,007,Butte,06,CA,3795,Aug,2017
06007,007,Butte,06,CA,3756,Sep,2017
06007,007,Butte,06,CA,3745,Oct,2017
06007,007,Butte,06,CA,3716,Nov,2017
06007,007,Butte,06,CA,3668,Dec,2017
06009,009,Calaveras,06,CA,498,Jan,2017
06009,009,Calaveras,06,CA,485,Feb,2017
06009,009,Calaveras,06,CA,503,Mar,2017
06009,009,Calaveras,06,CA,505,Apr,2017
06009,009,Calaveras,06,CA,503,May,2017
06009,009,Calaveras,06,CA,502,Jun,2017
06009,009,Calaveras,06,CA,499,Jul,2017
