FIPS_Code,County_FIPS_Code,County,State_FIPS_Code,State,value,month,year
06001,001,Alameda,06,CA,200619,Jan,2017
06001,001,Alameda,06,CA,200910,Feb,2017
06001,001,Alameda,06,CA,201275,Mar,2017
06001,001,Alameda,06,CA,201366,Apr,2017
06001,001,Alameda,06,CA,201644,May,2017
06001,001,Alameda,06,CA,201838,Jun,2017
06001,001,Alameda,06,CA,201500,Jul,2017
06001,001,Alameda,06,CA,202360,Aug,2017
06001,001,Alameda,06,CA,203756,Sep,2017
06001,001,Alameda,06,CA,204157,Oct,2017
06001,001,Alameda,06,CA,204698,Nov,2017
06001,001,Alameda,06,CA,205125,Dec,2017
06003,003,Alpine,06,CA,213,Jan,2017
06003,003,Alpine,06,CA,215,Feb,2017
06003,003,Alpine,06,CA,214,Mar,2017
06003,003,Alpine,06,CA,217,Apr,2017
06003,003,Alpine,06,CA,217,May,2017
06003,003,Alpine,06,CA,219,Jun,2017
06003,003,Alpine,06,CA,214,Jul,2017
06003,003,Alpine,06,CA,215,Aug,2017
06003,003,Alpine,06,CA,213,Sep,2017
06003,003,Alpine,06,CA,216,Oct,2017
06003,003,Alpine,06,CA,215,Nov,2017
06003,003,Alpine,06,CA,215,Dec,2017
06005,005,Amador,06,CA,9995,Jan,2017
06005,005,Amador,06,CA,10031,Feb,2017
06005,005,Amador,06,CA,10045,Mar,2017
06005,005,Amador,06,CA,10042,Apr,2017
06005,005,Amador,06,CA,10056,May,2017
06005,005,Amador,06,CA,10050,Jun,2017
06005,005,Amador,06,CA,10044,Jul,2017
06005,005,Amador,06,CA,10090,Aug,2017
06005,005,Amador,06,CA,10138,Sep,2017
06005,005,Amador,06,CA,10164,Oct,2017
06005,005,Amador,06,CA,10196,Nov,2017
06005,005,Amador,06,CA,10198,Dec,2017
06007,007,Butte,06,CA,45744,Jan,2017
06007,007,Butte,06,CA,45857,Feb,2017
06007,007,Butte,06,CA,45860,Mar,2017
06007,007,Butte,06,CA,45885,Apr,2017
06007,007,Butte,06,CA,45987,May,2017
06007,007,Butte,06,CA,46020,Jun,2017
06007,007,Butte,06,CA,45963,Jul,2017
06007,007,Butte,06,CA,46171,Aug,2017
06007,007,Butte,06,CA,46390,Sep,2017
06007,007,Butte,06,CA,46491,Oct,2017
06007,007,Butte,06,CA,46589,Nov,2017
06007,007,Butte,06,CA,46620,Dec,2017
06009,009,Calaveras,06,CA,11626,Jan,2017
06009,009,Calaveras,06,CA,11636,Feb,2017
06009,009,Calaveras,06,CA,11650,Mar,2017
06009,009,Calaveras,06,CA,11657,Apr,2017
06009,009,Calaveras,06,CA,11684,May,2017
06009,009,Calaveras,06,CA,11695,Jun,2017
06009,009,Calaveras,06,CA,11667,Jul,2017
06009,009,Calaveras,06,CA,11696,Aug,2017
06009,009,Calaveras,06,CA,11750,Sep,2017
06009,009,Calaveras,06,CA,11779,Oct,2017
06009,009,Calaveras,06,CA,11829,Nov,2017
06009,009,Calaveras,06,CA,11841,Dec,2017
06011,011,Colusa,06,CA,3188,Jan,2017
06011,011,Colusa,06,CA,3191,Feb,2017
06011,011,Colusa,06,CA,3178,Mar,2017
06011,011,Colusa,06,CA,3179,Apr,2017
06011,011,Colusa,06,CA,3185,May,2017
06011,011,Colusa,06,CA,3200,Jun,2017
06011,011,Colusa,06,CA,3199,Jul,2017
06011,011,Colusa,06,CA,3215,Aug,2017
06011,011,Colusa,06,CA,3224,Sep,2017
06011,011,Colusa,06,CA,3235,Oct,2017
06011,011,Colusa,06,CA,3244,Nov,2017
06011,011,Colusa,06,CA,3239,Dec,2017
06013,013,Contra Costa,06,CA,162842,Jan,2017
06013,013,Contra Costa,06,CA,163114,Feb,2017
06013,013,Contra Costa,06,CA,163458,Mar,2017
06013,013,Contra Costa,06,CA,163675,Apr,2017
06013,013,Contra Costa,06,CA,163880,May,2017
06013,013,Contra Costa,06,CA,164069,Jun,2017
06013,013,Contra Costa,06,CA,164040,Jul,2017
06013,013,Contra Costa,06,CA,164796,Aug,2017
06013,013,Contra Costa,06,CA,165745,Sep,2017
06013,013,Contra Costa,06,CA,166208,Oct,2017
06013,013,Contra Costa,06,CA,166620,Nov,2017
06013,013,Contra Costa,06,CA,166894,Dec,2017
06015,015,Del Norte,06,CA,5540,Jan,2017
06015,015,Del Norte,06,CA,5556,Feb,2017
06015,015,Del Norte,06,CA,5550,Mar,2017
06015,015,Del Norte,06,CA,5548,Apr,2017
06015,015,Del Norte,06,CA,5543,May,2017
06015,015,Del Norte,06,CA,5527,Jun,2017
06015,015,Del Norte,06,CA,5522,Jul,2017
06015,015,Del Norte,06,CA,5553,Aug,2017
06015,015,Del Norte,06,CA,5567,Sep,2017
06015,015,Del Norte,06,CA,5578,Oct,2017
06015,015,Del Norte,06,CA,5575,Nov,2017
06015,015,Del Norte,06,CA,5568,Dec,2017
06017,017,El Dorado,06,CA,36693,Jan,2017
06017,017,El Dorado,06,CA,36839,Feb,2017
06017,017,El Dorado,06,CA,36976,Mar,2017
06017,017,El Dorado,06,CA,37097,Apr,2017
06017,017,El Dorado,06,CA,37181,May,2017
06017,017,El Dorado,06,CA,37257,Jun,2017
06017,017,El Dorado,06,CA,37316,Jul,2017
06017,017,El Dorado,06,CA,37532,Aug,2017
06017,017,El Dorado,06,CA,37770,Sep,2017
06017,017,El Dorado,06,CA,37976,Oct,2017
06017,017,El Dorado,06,CA,38152,Nov,2017
06017,017,El Dorado,06,CA,38203,Dec,2017
06019,019,Fresno,06,CA,116874,Jan,2017
06019,019,Fresno,06,CA,117075,Feb,2017
06019,019,Fresno,06,CA,117228,Mar,2017
06019,019,Fresno,06,CA,117407,Apr,2017
06019,019,Fresno,06,CA,117621,May,2017
06019,019,Fresno,06,CA,117771,Jun,2017
06019,019,Fresno,06,CA,117664,Jul,2017
06019,019,Fresno,06,CA,118299,Aug,2017
06019,019,Fresno,06,CA,118910,Sep,2017
06019,019,Fresno,06,CA,119164,Oct,2017
06019,019,Fresno,06,CA,119509,Nov,2017
06019,019,Fresno,06,CA,119711,Dec,2017
06021,021,Glenn,06,CA,5082,Jan,2017
06021,021,Glenn,06,CA,5095,Feb,2017
06021,021,Glenn,06,CA,5095,Mar,2017
06021,021,Glenn,06,CA,5093,Apr,2017
06021,021,Glenn,06,CA,5102,May,2017
06021,021,Glenn,06,CA,5094,Jun,2017
06021,021,Glenn,06,CA,5109,Jul,2017
06021,021,Glenn,06,CA,5134,Aug,2017
06021,021,Glenn,06,CA,5151,Sep,2017
06021,021,Glenn,06,CA,5147,Oct,2017
06021,021,Glenn,06,CA,5153,Nov,2017
06021,021,Glenn,06,CA,5148,Dec,2017
06023,023,Humboldt,06,CA,25487,Jan,2017
06023,023,Humboldt,06,CA,25538,Feb,2017
06023,023,Humboldt,06,CA,25562,Mar,2017
06023,023,Humboldt,06,CA,25587,Apr,2017
06023,023,Humboldt,06,CA,25606,May,2017
06023,023,Humboldt,06,CA,25668,Jun,2017
06023,023,Humboldt,06,CA,25598,Jul,2017
06023,023,Humboldt,06,CA,25705,Aug,2017
06023,023,Humboldt,06,CA,25823,Sep,2017
06023,023,Humboldt,06,CA,25891,Oct,2017
06023,023,Humboldt,06,CA,25978,Nov,2017
06023,023,Humboldt,06,CA,26006,Dec,2017
06025,025,Imperial,06,CA,24194,Jan,2017
06025,025,Imperial,06,CA,24298,Feb,2017
06025,025,Imperial,06,CA,24385,Mar,2017
06025,025,Imperial,06,CA,24423,Apr,2017
06025,025,Imperial,06,CA,24502,May,2017
06025,025,Imperial,06,CA,24510,Jun,2017
06025,025,Imperial,06,CA,24510,Jul,2017
06025,025,Imperial,06,CA,24645,Aug,2017
06025,025,Imperial,06,CA,24758,Sep,2017
06025,025,Imperial,06,CA,24779,Oct,2017
06025,025,Imperial,06,CA,24880,Nov,2017
06025,025,Imperial,06,CA,24967,Dec,2017
06027,027,Inyo,06,CA,4175,Jan,2017
06027,027,Inyo,06,CA,4161,Feb,2017
06027,027,Inyo,06,CA,4170,Mar,2017
06027,027,Inyo,06,CA,4175,Apr,2017
06027,027,Inyo,06,CA,4179,May,2017
06027,027,Inyo,06,CA,4185,Jun,2017
06027,027,Inyo,06,CA,4175,Jul,2017
06027,027,Inyo,06,CA,4190,Aug,2017
06027,027,Inyo,06,CA,4207,Sep,2017
06027,027,Inyo,06,CA,4238,Oct,2017
06027,027,Inyo,06,CA,4244,Nov,2017
06027,027,Inyo,06,CA,4258,Dec,2017
06029,029,Kern,06,CA,99993,Jan,2017
06029,029,Kern,06,CA,100203,Feb,2017
06029,029,Kern,06,CA,100355,Mar,2017
06029,029,Kern,06,CA,100466,Apr,2017
06029,029,Kern,06,CA,100637,May,2017
06029,029,Kern,06,CA,100763,Jun,2017
06029,029,Kern,06,CA,100646,Jul,2017
06029,029,Kern,06,CA,101167,Aug,2017
06029,029,Kern,06,CA,101727,Sep,2017
06029,029,Kern,06,CA,101970,Oct,2017
06029,029,Kern,06,CA,102248,Nov,2017
06029,029,Kern,06,CA,102449,Dec,2017
06031,031,Kings,06,CA,14566,Jan,2017
06031,031,Kings,06,CA,14587,Feb,2017
06031,031,Kings,06,CA,14638,Mar,2017
06031,031,Kings,06,CA,14676,Apr,2017
06031,031,Kings,06,CA,14709,May,2017
06031,031,Kings,06,CA,14720,Jun,2017
06031,031,Kings,06,CA,14696,Jul,2017
06031,031,Kings,06,CA,14760,Aug,2017
06031,031,Kings,06,CA,14819,Sep,2017
06031,031,Kings,06,CA,14853,Oct,2017
06031,031,Kings,06,CA,14897,Nov,2017
06031,031,Kings,06,CA,14916,Dec,2017
06033,033,Lake,06,CA,15530,Jan,2017
06033,033,Lake,06,CA,15533,Feb,2017
06033,033,Lake,06,CA,15492,Mar,2017
06033,033,Lake,06,CA,15502,Apr,2017
06033,033,Lake,06,CA,15516,May,2017
06033,033,Lake,06,CA,15509,Jun,2017
06033,033,Lake,06,CA,15490,Jul,2017
06033,033,Lake,06,CA,15551,Aug,2017
06033,033,Lake,06,CA,15630,Sep,2017
06033,033,Lake,06,CA,15661,Oct,2017
06033,033,Lake,06,CA,15715,Nov,2017
06033,033,Lake,06,CA,15740,Dec,2017
06035,035,Lassen,06,CA,4675,Jan,2017
06035,035,Lassen,06,CA,4672,Feb,2017
06035,035,Lassen,06,CA,4672,Mar,2017
06035,035,Lassen,06,CA,4666,Apr,2017
06035,035,Lassen,06,CA,4675,May,2017
06035,035,Lassen,06,CA,4666,Jun,2017
06035,035,Lassen,06,CA,4661,Jul,2017
06035,035,Lassen,06,CA,4694,Aug,2017
06035,035,Lassen,06,CA,4718,Sep,2017
06035,035,Lassen,06,CA,4733,Oct,2017
06035,035,Lassen,06,CA,4744,Nov,2017
06035,035,Lassen,06,CA,4760,Dec,2017
06037,037,Los Angeles,06,CA,1245331,Jan,2017
06037,037,Los Angeles,06,CA,1247352,Feb,2017
06037,037,Los Angeles,06,CA,1249802,Mar,2017
06037,037,Los Angeles,06,CA,1251107,Apr,2017
06037,037,Los Angeles,06,CA,1252634,May,2017
06037,037,Los Angeles,06,CA,1254262,Jun,2017
06037,037,Los Angeles,06,CA,1253017,Jul,2017
06037,037,Los Angeles,06,CA,1258407,Aug,2017
06037,037,Los Angeles,06,CA,1267195,Sep,2017
06037,037,Los Angeles,06,CA,1269320,Oct,2017
06037,037,Los Angeles,06,CA,1272526,Nov,2017
06037,037,Los Angeles,06,CA,1274570,Dec,2017
06039,039,Madera,06,CA,20877,Jan,2017
06039,039,Madera,06,CA,20936,Feb,2017
06039,039,Madera,06,CA,20954,Mar,2017
06039,039,Madera,06,CA,20962,Apr,2017
06039,039,Madera,06,CA,21003,May,2017
06039,039,Madera,06,CA,21015,Jun,2017
06039,039,Madera,06,CA,20970,Jul,2017
06039,039,Madera,06,CA,21035,Aug,2017
06039,039,Madera,06,CA,21109,Sep,2017
06039,039,Madera,06,CA,21178,Oct,2017
06039,039,Madera,06,CA,21230,Nov,2017
06039,039,Madera,06,CA,21215,Dec,2017
06041,041,Marin,06,CA,50492,Jan,2017
06041,041,Marin,06,CA,50546,Feb,2017
06041,041,Marin,06,CA,50668,Mar,2017
06041,041,Marin,06,CA,50709,Apr,2017
06041,041,Marin,06,CA,50837,May,2017
06041,041,Marin,06,CA,50857,Jun,2017
06041,041,Marin,06,CA,50789,Jul,2017
06041,041,Marin,06,CA,51017,Aug,2017
06041,041,Marin,06,CA,51300,Sep,2017
06041,041,Marin,06,CA,51439,Oct,2017
06041,041,Marin,06,CA,51562,Nov,2017
06041,041,Marin,06,CA,51637,Dec,2017
06043,043,Mariposa,06,CA,4045,Jan,2017
06043,043,Mariposa,06,CA,4053,Feb,2017
06043,043,Mariposa,06,CA,4041,Mar,2017
06043,043,Mariposa,06,CA,4043,Apr,2017
06043,043,Mariposa,06,CA,4056,May,2017
06043,043,Mariposa,06,CA,4044,Jun,2017
06043,043,Mariposa,06,CA,4028,Jul,2017
06043,043,Mariposa,06,CA,4036,Aug,2017
06043,043,Mariposa,06,CA,4053,Sep,2017
06043,043,Mariposa,06,CA,4058,Oct,2017
06043,043,Mariposa,06,CA,4060,Nov,2017
06043,043,Mariposa,06,CA,4051,Dec,2017
06045,045,Mendocino,06,CA,20052,Jan,2017
06045,045,Mendocino,06,CA,20115,Feb,2017
06045,045,Mendocino,06,CA,20102,Mar,2017
06045,045,Mendocino,06,CA,20148,Apr,2017
06045,045,Mendocino,06,CA,20185,May,2017
06045,045,Mendocino,06,CA,20200,Jun,2017
06045,045,Mendocino,06,CA,20227,Jul,2017
06045,045,Mendocino,06,CA,20327,Aug,2017
06045,045,Mendocino,06,CA,20450,Sep,2017
06045,045,Mendocino,06,CA,20510,Oct,2017
06045,045,Mendocino,06,CA,20549,Nov,2017
06045,045,Mendocino,06,CA,20579,Dec,2017
06047,047,Merced,06,CA,31562,Jan,2017
06047,047,Merced,06,CA,31602,Feb,2017
06047,047,Merced,06,CA,31622,Mar,2017
06047,047,Merced,06,CA,31650,Apr,2017
06047,047,Merced,06,CA,31629,May,2017
06047,047,Merced,06,CA,31670,Jun,2017
06047,047,Merced,06,CA,31605,Jul,2017
06047,047,Merced,06,CA,31739,Aug,2017
06047,047,Merced,06,CA,31911,Sep,2017
06047,047,Merced,06,CA,31987,Oct,2017
06047,047,Merced,06,CA,32068,Nov,2017
06047,047,Merced,06,CA,32072,Dec,2017
06049,049,Modoc,06,CA,2110,Jan,2017
06049,049,Modoc,06,CA,2107,Feb,2017
06049,049,Modoc,06,CA,2104,Mar,2017
06049,049,Modoc,06,CA,2105,Apr,2017
06049,049,Modoc,06,CA,2110,May,2017
06049,049,Modoc,06,CA,2120,Jun,2017
06049,049,Modoc,06,CA,2108,Jul,2017
06049,049,Modoc,06,CA,2118,Aug,2017
06049,049,Modoc,06,CA,2138,Sep,2017
06049,049,Modoc,06,CA,2144,Oct,2017
06049,049,Modoc,06,CA,2140,Nov,2017
06049,049,Modoc,06,CA,2141,Dec,2017
06051,051,Mono,06,CA,1381,Jan,2017
06051,051,Mono,06,CA,1390,Feb,2017
06051,051,Mono,06,CA,1385,Mar,2017
06051,051,Mono,06,CA,1383,Apr,2017
06051,051,Mono,06,CA,1386,May,2017
06051,051,Mono,06,CA,1389,Jun,2017
06051,051,Mono,06,CA,1400,Jul,2017
06051,051,Mono,06,CA,1406,Aug,2017
06051,051,Mono,06,CA,1422,Sep,2017
06051,051,Mono,06,CA,1428,Oct,2017
06051,051,Mono,06,CA,1431,Nov,2017
06051,051,Mono,06,CA,1424,Dec,2017
06053,053,Monterey,06,CA,53936,Jan,2017
06053,053,Monterey,06,CA,54011,Feb,2017
06053,053,Monterey,06,CA,54069,Mar,2017
06053,053,Monterey,06,CA,54114,Apr,2017
06053,053,Monterey,06,CA,54150,May,2017
06053,053,Monterey,06,CA,54186,Jun,2017
06053,053,Monterey,06,CA,54169,Jul,2017
06053,053,Monterey,06,CA,54420,Aug,2017
06053,053,Monterey,06,CA,54769,Sep,2017
06053,053,Monterey,06,CA,54937,Oct,2017
06053,053,Monterey,06,CA,55072,Nov,2017
06053,053,Monterey,06,CA,55200,Dec,2017
06055,055,Napa,06,CA,25451,Jan,2017
06055,055,Napa,06,CA,25487,Feb,2017
06055,055,Napa,06,CA,25475,Mar,2017
06055,055,Napa,06,CA,25482,Apr,2017
06055,055,Napa,06,CA,25514,May,2017
06055,055,Napa,06,CA,25522,Jun,2017
06055,055,Napa,06,CA,25482,Jul,2017
06055,055,Napa,06,CA,25604,Aug,2017
06055,055,Napa,06,CA,25780,Sep,2017
06055,055,Napa,06,CA,25831,Oct,2017
06055,055,Napa,06,CA,25890,Nov,2017
06055,055,Napa,06,CA,25902,Dec,2017
06057,057,Nevada,06,CA,24510,Jan,2017
06057,057,Nevada,06,CA,24597,Feb,2017
06057,057,Nevada,06,CA,24665,Mar,2017
06057,057,Nevada,06,CA,24730,Apr,2017
06057,057,Nevada,06,CA,24740,May,2017
06057,057,Nevada,06,CA,24795,Jun,2017
06057,057,Nevada,06,CA,24778,Jul,2017
06057,057,Nevada,06,CA,24922,Aug,2017
06057,057,Nevada,06,CA,25016,Sep,2017
06057,057,Nevada,06,CA,25072,Oct,2017
06057,057,Nevada,06,CA,25148,Nov,2017
06057,057,Nevada,06,CA,25194,Dec,2017
06059,059,Orange,06,CA,428284,Jan,2017
06059,059,Orange,06,CA,429035,Feb,2017
06059,059,Orange,06,CA,430313,Mar,2017
06059,059,Orange,06,CA,430856,Apr,2017
06059,059,Orange,06,CA,431503,May,2017
06059,059,Orange,06,CA,432000,Jun,2017
06059,059,Orange,06,CA,431808,Jul,2017
06059,059,Orange,06,CA,433777,Aug,2017
06059,059,Orange,06,CA,436548,Sep,2017
06059,059,Orange,06,CA,437642,Oct,2017
06059,059,Orange,06,CA,438761,Nov,2017
06059,059,Orange,06,CA,439549,Dec,2017
06061,061,Placer,06,CA,71568,Jan,2017
06061,061,Placer,06,CA,71767,Feb,2017
06061,061,Placer,06,CA,71893,Mar,2017
06061,061,Placer,06,CA,72113,Apr,2017
06061,061,Placer,06,CA,72232,May,2017
06061,061,Placer,06,CA,72315,Jun,2017
06061,061,Placer,06,CA,72397,Jul,2017
06061,061,Placer,06,CA,72799,Aug,2017
06061,061,Placer,06,CA,73068,Sep,2017
06061,061,Placer,06,CA,73371,Oct,2017
06061,061,Placer,06,CA,73629,Nov,2017
06061,061,Placer,06,CA,73808,Dec,2017
06063,063,Plumas,06,CA,5013,Jan,2017
06063,063,Plumas,06,CA,4997,Feb,2017
06063,063,Plumas,06,CA,4997,Mar,2017
06063,063,Plumas,06,CA,5007,Apr,2017
06063,063,Plumas,06,CA,5017,May,2017
06063,063,Plumas,06,CA,5020,Jun,2017
06063,063,Plumas,06,CA,5018,Jul,2017
06063,063,Plumas,06,CA,5041,Aug,2017
06063,063,Plumas,06,CA,5067,Sep,2017
06063,063,Plumas,06,CA,5079,Oct,2017
06063,063,Plumas,06,CA,5096,Nov,2017
06063,063,Plumas,06,CA,5090,Dec,2017
06065,065,Riverside,06,CA,312069,Jan,2017
06065,065,Riverside,06,CA,312907,Feb,2017
06065,065,Riverside,06,CA,313855,Mar,2017
06065,065,Riverside,06,CA,314738,Apr,2017
06065,065,Riverside,06,CA,315461,May,2017
06065,065,Riverside,06,CA,315924,Jun,2017
06065,065,Riverside,06,CA,315768,Jul,2017
06065,065,Riverside,06,CA,317249,Aug,2017
06065,065,Riverside,06,CA,319119,Sep,2017
06065,065,Riverside,06,CA,320147,Oct,2017
06065,065,Riverside,06,CA,321021,Nov,2017
06065,065,Riverside,06,CA,321687,Dec,2017
06067,067,Sacramento,06,CA,209672,Jan,2017
06067,067,Sacramento,06,CA,210039,Feb,2017
06067,067,Sacramento,06,CA,210500,Mar,2017
06067,067,Sacramento,06,CA,210876,Apr,2017
06067,067,Sacramento,06,CA,211260,May,2017
06067,067,Sacramento,06,CA,211533,Jun,2017
06067,067,Sacramento,06,CA,211276,Jul,2017
06067,067,Sacramento,06,CA,212331,Aug,2017
06067,067,Sacramento,06,CA,213388,Sep,2017
06067,067,Sacramento,06,CA,213978,Oct,2017
06067,067,Sacramento,06,CA,214593,Nov,2017
06067,067,Sacramento,06,CA,214942,Dec,2017
06069,069,San Benito,06,CA,7049,Jan,2017
06069,069,San Benito,06,CA,7064,Feb,2017
06069,069,San Benito,06,CA,7068,Mar,2017
06069,069,San Benito,06,CA,7079,Apr,2017
06069,069,San Benito,06,CA,7093,May,2017
06069,069,San Benito,06,CA,7114,Jun,2017
06069,069,San Benito,06,CA,7113,Jul,2017
06069,069,San Benito,06,CA,7150,Aug,2017
06069,069,San Benito,06,CA,7200,Sep,2017
06069,069,San Benito,06,CA,7199,Oct,2017
06069,069,San Benito,06,CA,7235,Nov,2017
06069,069,San Benito,06,CA,7263,Dec,2017
06071,071,San Bernardino,06,CA,244543,Jan,2017
06071,071,San Bernardino,06,CA,245082,Feb,2017
06071,071,San Bernardino,06,CA,245521,Mar,2017
06071,071,San Bernardino,06,CA,246035,Apr,2017
06071,071,San Bernardino,06,CA,246494,May,2017
06071,071,San Bernardino,06,CA,246913,Jun,2017
