fips,name,name-cdp,total-housing-units,margin-of-error-total,owner-occupied-units,marin-of-error-owner,renter-occupied,margin-of-error-renter
1600000US0600135,Acalanes Ridge CDP,"Acalanes Ridge CDP, California",875,250,788,247,87,113
1600000US0600156,Acampo CDP,"Acampo CDP, California",261,269,109,166,152,198
1600000US0600212,Acton CDP,"Acton CDP, California",7043,756,6416,742,627,328
1600000US0600296,Adelanto city,"Adelanto city, California",31469,645,17761,1667,13708,1668
1600000US0600310,Adin CDP,"Adin CDP, California",180,108,116,67,64,85
1600000US0600394,Agoura Hills city,"Agoura Hills city, California",20157,61,16135,830,4022,837
1600000US0600450,Agua Dulce CDP,"Agua Dulce CDP, California",3494,614,3084,572,410,300
1600000US0600464,Aguanga CDP,"Aguanga CDP, California",696,344,425,283,271,235
1600000US0600478,Ahwahnee CDP,"Ahwahnee CDP, California",2256,562,1434,479,822,451
1600000US0600535,Airport CDP,"Airport CDP, California",1276,318,450,342,826,330
1600000US0600562,Alameda city,"Alameda city, California",78693,261,42250,1764,36443,1806
1600000US0600618,Alamo CDP,"Alamo CDP, California",13818,1313,12890,1284,928,467
1600000US0600674,Albany city,"Albany city, California",20084,44,10055,716,10029,723
1600000US0600716,Albion CDP,"Albion CDP, California",113,103,113,103,0,13
1600000US0600786,Alderpoint CDP,"Alderpoint CDP, California",26,39,26,39,0,13
1600000US0600884,Alhambra city,"Alhambra city, California",83723,149,34101,1788,49622,1798
1600000US0600898,Alhambra Valley CDP,"Alhambra Valley CDP, California",1051,379,998,393,53,64
1600000US0600947,Aliso Viejo city,"Aliso Viejo city, California",49968,130,30363,1436,19605,1440
1600000US0600982,Alleghany CDP,"Alleghany CDP, California",99,101,99,101,0,13
1600000US0600996,Allendale CDP,"Allendale CDP, California",1421,382,1320,369,101,115
1600000US0601010,Allensworth CDP,"Allensworth CDP, California",596,153,274,94,322,137
1600000US0601094,Almanor CDP,"Almanor CDP, California",0,13,0,13,0,13
1600000US0601150,Alondra Park CDP,"Alondra Park CDP, California",7965,971,4272,605,3693,705
1600000US0601164,Alpaugh CDP,"Alpaugh CDP, California",869,333,189,97,680,308
1600000US0601192,Alpine CDP,"Alpine CDP, California",14757,1362,10928,1316,3829,698
1600000US0601228,Alpine Village CDP,"Alpine Village CDP, California",142,60,114,59,28,22
1600000US0601276,Alta CDP,"Alta CDP, California",681,238,628,239,53,36
1600000US0601290,Altadena CDP,"Altadena CDP, California",42454,1977,30024,2031,12430,1594
1600000US0601358,Alta Sierra CDP (Kern County),"Alta Sierra CDP (Kern County), California",111,144,97,142,14,21
1600000US0601360,Alta Sierra CDP (Nevada County),"Alta Sierra CDP (Nevada County), California",7600,772,6969,865,631,423
1600000US0601416,Alto CDP,"Alto CDP, California",818,320,371,183,447,321
1600000US0601444,Alturas city,"Alturas city, California",2521,27,1631,220,890,220
1600000US0601458,Alum Rock CDP,"Alum Rock CDP, California",11449,1145,8363,1135,3086,804
1600000US0601514,Amador City city,"Amador City city, California",153,77,57,38,96,67
1600000US0601518,Amador Pines CDP,"Amador Pines CDP, California",992,227,955,217,37,47
1600000US0601640,American Canyon city,"American Canyon city, California",20175,45,15577,771,4598,777
1600000US0601651,Amesti CDP,"Amesti CDP, California",3218,431,2610,474,608,254
1600000US0602000,Anaheim city,"Anaheim city, California",348146,483,156411,5007,191735,4894
1600000US0602028,Anchor Bay CDP,"Anchor Bay CDP, California",326,171,191,120,135,134
1600000US0602042,Anderson city,"Anderson city, California",10466,42,5239,578,5227,583
1600000US0602112,Angels city,"Angels city, California",3889,34,2222,473,1667,475
1600000US0602168,Angwin CDP,"Angwin CDP, California",2278,421,1235,344,1043,301
1600000US0602210,Antelope CDP,"Antelope CDP, California",48356,2190,32067,1882,16289,1645
1600000US0602252,Antioch city,"Antioch city, California",110901,134,64814,3025,46087,3024
1600000US0602294,Anza CDP,"Anza CDP, California",2101,899,1612,822,489,379
1600000US0602364,Apple Valley town,"Apple Valley town, California",72815,191,45399,2241,27416,2214
1600000US0602378,Aptos CDP,"Aptos CDP, California",6245,729,4845,529,1400,597
1600000US0602382,Aptos Hills-Larkin Valley CDP,"Aptos Hills-Larkin Valley CDP, California",1397,326,1277,324,120,98
1600000US0602420,Arbuckle CDP,"Arbuckle CDP, California",3368,494,2314,563,1054,433
1600000US0602462,Arcadia city,"Arcadia city, California",56384,380,34870,1849,21514,1779
1600000US0602476,Arcata city,"Arcata city, California",16493,478,5408,785,11085,801
1600000US0602553,Arden-Arcade CDP,"Arden-Arcade CDP, California",92879,3109,39760,2473,53119,2733
1600000US0602700,Armona CDP,"Armona CDP, California",4433,732,2662,816,1771,570
1600000US0602770,Arnold CDP,"Arnold CDP, California",2099,319,1705,279,394,203
1600000US0602812,Aromas CDP,"Aromas CDP, California",2609,639,1966,527,643,524
