STATEFP,PLACEFP,GEOID_place,name_place,name_place_lsad,COUNTYFP,GEOID_county,name_county,name_county_lsad,total_housing_unit,owner_occupied,renter_occupied
06,00135,0600135,Acalanes Ridge,Acalanes Ridge CDP,013,06013,Contra Costa,Contra Costa County,875,788,87
06,00156,0600156,Acampo,Acampo CDP,077,06077,San Joaquin,San Joaquin County,261,109,152
06,00212,0600212,Acton,Acton CDP,037,06037,Los Angeles,Los Angeles County,7043,6416,627
06,00296,0600296,Adelanto,Adelanto city,071,06071,San Bernardino,San Bernardino County,31469,17761,13708
06,00310,0600310,Adin,Adin CDP,035,06035,Lassen,Lassen County,180,116,64
06,00310,0600310,Adin,Adin CDP,049,06049,Modoc,Modoc County,180,116,64
06,00394,0600394,Agoura Hills,Agoura Hills city,111,06111,Ventura,Ventura County,20157,16135,4022
06,00394,0600394,Agoura Hills,Agoura Hills city,037,06037,Los Angeles,Los Angeles County,20157,16135,4022
06,00450,0600450,Agua Dulce,Agua Dulce CDP,037,06037,Los Angeles,Los Angeles County,3494,3084,410
06,00464,0600464,Aguanga,Aguanga CDP,073,06073,San Diego,San Diego County,696,425,271
06,00464,0600464,Aguanga,Aguanga CDP,065,06065,Riverside,Riverside County,696,425,271
06,00478,0600478,Ahwahnee,Ahwahnee CDP,039,06039,Madera,Madera County,2256,1434,822
06,00535,0600535,Airport,Airport CDP,099,06099,Stanislaus,Stanislaus County,1276,450,826
06,00562,0600562,Alameda,Alameda city,075,06075,San Francisco,San Francisco County,78693,42250,36443
06,00562,0600562,Alameda,Alameda city,001,06001,Alameda,Alameda County,78693,42250,36443
06,00562,0600562,Alameda,Alameda city,081,06081,San Mateo,San Mateo County,78693,42250,36443
06,00618,0600618,Alamo,Alamo CDP,013,06013,Contra Costa,Contra Costa County,13818,12890,928
06,00674,0600674,Albany,Albany city,075,06075,San Francisco,San Francisco County,20084,10055,10029
06,00674,0600674,Albany,Albany city,013,06013,Contra Costa,Contra Costa County,20084,10055,10029
06,00674,0600674,Albany,Albany city,001,06001,Alameda,Alameda County,20084,10055,10029
06,00716,0600716,Albion,Albion CDP,045,06045,Mendocino,Mendocino County,113,113,0
06,00786,0600786,Alderpoint,Alderpoint CDP,023,06023,Humboldt,Humboldt County,26,26,0
06,00884,0600884,Alhambra,Alhambra city,037,06037,Los Angeles,Los Angeles County,83723,34101,49622
06,00898,0600898,Alhambra Valley,Alhambra Valley CDP,013,06013,Contra Costa,Contra Costa County,1051,998,53
06,00947,0600947,Aliso Viejo,Aliso Viejo city,059,06059,Orange,Orange County,49968,30363,19605
06,00982,0600982,Alleghany,Alleghany CDP,091,06091,Sierra,Sierra County,99,99,0
06,00996,0600996,Allendale,Allendale CDP,095,06095,Solano,Solano County,1421,1320,101
06,01010,0601010,Allensworth,Allensworth CDP,107,06107,Tulare,Tulare County,596,274,322
06,01094,0601094,Almanor,Almanor CDP,063,06063,Plumas,Plumas County,0,0,0
06,01150,0601150,Alondra Park,Alondra Park CDP,037,06037,Los Angeles,Los Angeles County,7965,4272,3693
06,01164,0601164,Alpaugh,Alpaugh CDP,107,06107,Tulare,Tulare County,869,189,680
06,01192,0601192,Alpine,Alpine CDP,073,06073,San Diego,San Diego County,14757,10928,3829
06,01228,0601228,Alpine Village,Alpine Village CDP,003,06003,Alpine,Alpine County,142,114,28
06,01276,0601276,Alta,Alta CDP,061,06061,Placer,Placer County,681,628,53
06,01290,0601290,Altadena,Altadena CDP,037,06037,Los Angeles,Los Angeles County,42454,30024,12430
06,01358,0601358,Alta Sierra,Alta Sierra CDP,029,06029,Kern,Kern County,111,97,14
06,01360,0601360,Alta Sierra,Alta Sierra CDP,057,06057,Nevada,Nevada County,7600,6969,631
06,01416,0601416,Alto,Alto CDP,041,06041,Marin,Marin County,818,371,447
06,01444,0601444,Alturas,Alturas city,049,06049,Modoc,Modoc County,2521,1631,890
06,01458,0601458,Alum Rock,Alum Rock CDP,085,06085,Santa Clara,Santa Clara County,11449,8363,3086
06,01514,0601514,Amador City,Amador City city,005,06005,Amador,Amador County,153,57,96
06,01518,0601518,Amador Pines,Amador Pines CDP,005,06005,Amador,Amador County,992,955,37
06,01640,0601640,American Canyon,American Canyon city,055,06055,Napa,Napa County,20175,15577,4598
06,01640,0601640,American Canyon,American Canyon city,095,06095,Solano,Solano County,20175,15577,4598
06,01651,0601651,Amesti,Amesti CDP,087,06087,Santa Cruz,Santa Cruz County,3218,2610,608
06,02000,0602000,Anaheim,Anaheim city,065,06065,Riverside,Riverside County,348146,156411,191735
06,02000,0602000,Anaheim,Anaheim city,059,06059,Orange,Orange County,348146,156411,191735
06,02028,0602028,Anchor Bay,Anchor Bay CDP,045,06045,Mendocino,Mendocino County,326,191,135
06,02042,0602042,Anderson,Anderson city,089,06089,Shasta,Shasta County,10466,5239,5227
06,02112,0602112,Angels,Angels city,009,06009,Calaveras,Calaveras County,3889,2222,1667
06,02168,0602168,Angwin,Angwin CDP,055,06055,Napa,Napa County,2278,1235,1043
06,02210,0602210,Antelope,Antelope CDP,067,06067,Sacramento,Sacramento County,48356,32067,16289
06,02210,0602210,Antelope,Antelope CDP,061,06061,Placer,Placer County,48356,32067,16289
06,02252,0602252,Antioch,Antioch city,067,06067,Sacramento,Sacramento County,110901,64814,46087
06,02252,0602252,Antioch,Antioch city,013,06013,Contra Costa,Contra Costa County,110901,64814,46087
06,02294,0602294,Anza,Anza CDP,065,06065,Riverside,Riverside County,2101,1612,489
06,02364,0602364,Apple Valley,Apple Valley town,071,06071,San Bernardino,San Bernardino County,72815,45399,27416
06,02378,0602378,Aptos,Aptos CDP,087,06087,Santa Cruz,Santa Cruz County,6245,4845,1400
