Utility ,PSPS Start Date,PSPS End Date,County
SDGE,10/20/17,10/21/17,San Diego
SDGE,10/23/17,10/25/17,San Diego
SDGE,12/5/17,12/11/17,San Diego
SDGE,12/6/17,12/8/17,San Diego
SDGE,12/9/17,12/11/17,San Diego
SDGE,12/14/17,12/15/17,San Diego
SDGE,1/27/18,1/29/18,San Diego
SDGE,10/15/18,10/16/18,San Diego
SDGE,11/11/18,11/15/18,San Diego
SDGE,11/12/18,11/16/18,San Diego
SDGE,10/10/19,10/11/19,San Diego
SDGE,10/24/19,10/26/19,San Diego
SDGE,10/29/19,10/31/19,San Diego
SDGE,12/2/20,12/4/20,San Diego
SDGE,12/7/20,12/9/20,San Diego
SDGE,10/26/20,10/27/20,San Diego
SCE,11/25/19,11/26/19,Mono
SCE,11/25/19,11/26/19,Inyo
SCE,11/25/19,11/26/19,San Bernardino
SCE,11/25/19,11/26/19,Los Angeles
SCE,10/27/19,10/30/19,Fresno 
SCE,10/27/19,10/30/19,Inyo 
SCE,10/27/19,10/30/19,Kern 
SCE,10/27/19,10/30/19,Madera
SCE,10/27/19,10/30/19,Mono 
SCE,10/27/19,10/30/19,Orange 
SCE,10/27/19,10/30/19,Riverside 
SCE,10/27/19,10/30/19,Tulare 
SCE,10/27/19,10/30/19,Tuolomne 
SCE,10/27/19,10/30/19,Ventura 
SCE,10/27/19,10/30/19,San Bernardino 
SCE,10/27/19,10/30/19,Los Angeles 
SCE,10/24/19,10/25/19,Kern 
SCE,10/24/19,10/25/19,Los Angeles 
SCE,10/24/19,10/26/19,Orange 
SCE,10/24/19,10/25/19,Riverside 
SCE,10/24/19,10/25/19,San Bernardino 
SCE,10/24/19,10/25/19,Ventura 
SCE,10/10/19,10/11/19,Los Angeles 
SCE,10/10/19,10/11/19,Ventura 
SCE,10/10/19,10/11/19,Riverside 
SCE,10/10/19,10/11/19,San Bernardino 
SCE,10/10/19,10/11/19,Kern 
SCE,9/16/19,9/17/19,Inyo
SCE,9/16/19,9/17/19,Mono
SCE,12/23/20,12/24/20,Inyo 
SCE,12/23/20,12/24/20,Kern 
SCE,12/18/20,12/24/20,Los Angeles 
SCE,12/23/20,12/24/20,Riverside 
SCE,12/23/20,12/24/20,San Bernardino 
SCE,12/19/20,12/24/20,Ventura 
SCE,12/7/20,12/9/20,Inyo 
SCE,12/7/20,12/9/20,Kern 
SCE,12/7/20,12/9/20,Los Angeles 
SCE,12/7/20,12/9/20,Riverside 
SCE,12/7/20,12/9/20,San Bernardino 
SCE,12/7/20,12/9/20,Ventura 
SCE,12/7/20,12/9/20,Orange 
SCE,12/2/20,12/4/20,Kern 
SCE,12/2/20,12/4/20,Los Angeles 
SCE,12/2/20,12/4/20,San Bernardino 
SCE,12/2/20,12/4/20,Ventura 
SCE,12/2/20,12/4/20,Orange 
SCE,11/26/20,11/28/20,Kern 
SCE,11/26/20,11/28/20,Los Angeles 
SCE,11/26/20,11/28/20,San Bernardino 
SCE,11/26/20,11/28/20,Ventura 
SCE,11/26/20,11/28/20,Orange 
SCE,10/26/20,10/28/20,Kern 
SCE,10/26/20,10/28/20,Los Angeles 
SCE,10/26/20,10/28/20,San Bernardino 
SCE,10/26/20,10/28/20,Ventura 
SCE,10/26/20,10/28/20,Orange 
SCE,10/26/20,10/28/20,Riverside
PG&E,10/14/18,10/16/18,Placer
PG&E,10/14/18,10/16/18,El Dorado
PG&E,10/14/18,10/17/18,Napa
PG&E,10/14/18,10/16/18,Lake
PG&E,10/14/18,10/16/18,Amador
PG&E,6/8/19,6/9/19,Butte
PG&E,6/8/19,6/9/19,Napa
PG&E,6/8/19,6/9/19,Solano
PG&E,6/8/19,6/9/19,Yuba
PG&E,9/23/19,9/26/19,Yuba
PG&E,9/23/19,9/24/19,Sacremento
PG&E,9/23/19,9/26/19,El Dorado
PG&E,9/23/19,9/26/19,Nevada
PG&E,9/23/19,9/26/19,Butte
PG&E,9/25/19,9/26/19,Napa
PG&E,9/25/19,9/25/19,Sonoma
PG&E,9/25/19,9/26/19,Placer
PG&E,10/5/19,10/6/19,Butte
PG&E,10/5/19,10/6/19,Yuba
PG&E,10/5/19,10/6/19,Plumas
PG&E,10/9/19,10/11/19,Amador
PG&E,10/9/19,10/12/19,Butte
PG&E,10/9/19,10/11/19,Calaveras
PG&E,10/9/19,10/11/19,Colusa
PG&E,10/9/19,10/11/19,Contra Costa 
PG&E,10/9/19,10/11/19,El Dorado
PG&E,10/9/19,10/11/19,Glenn
PG&E,10/9/19,10/11/19,Humboldt
PG&E,10/9/19,10/11/19,Lake
PG&E,10/9/19,10/11/19,Marin
PG&E,10/9/19,10/11/19,Mendocino
PG&E,10/9/19,10/11/19,Napa
PG&E,10/9/19,10/11/19,Placer
PG&E,10/9/19,10/11/19,Nevada
PG&E,10/9/19,10/11/19,Plumas
PG&E,10/9/19,10/11/19,Shasta
PG&E,10/9/19,10/11/19,Sierra
PG&E,10/9/19,10/11/19,Solano
PG&E,10/9/19,10/11/19,Sonoma
PG&E,10/9/19,10/11/19,Tehama
PG&E,10/9/19,10/11/19,Trinity
