UtilityName,StateName,CountyName,CityName
Pacific Gas and Electric Company,California,Alameda,Byron
Pacific Gas and Electric Company,California,Alameda,Tracy
Liberty Utilities,California,Alpine,Unknown
Pacific Gas and Electric Company,California,Alpine,Arnold
Pacific Gas and Electric Company,California,Alpine,Buckhorn
Pacific Gas and Electric Company,California,Alpine,Mi
Pacific Gas and Electric Company,California,Alpine,South Lake Tahoe
Southern California Edison,California,Alpine,Mesa
Los Angeles Department of Water & Power,California,Amador,Silver Lake
Pacific Gas and Electric Company,California,Butte,Marysville
Pacific Gas and Electric Company,California,Butte,Pulga
Pacific Gas and Electric Company,California,Butte,Strawberry Valley
Pacific Gas and Electric Company,California,Calaveras,Angels Camp
Pacific Gas and Electric Company,California,Calaveras,Burson
Pacific Gas and Electric Company,California,Calaveras,Camp Connell
Pacific Gas and Electric Company,California,Calaveras,Campo Seco
Pacific Gas and Electric Company,California,Calaveras,Glencoe
Pacific Gas and Electric Company,California,Calaveras,Linden
Pacific Gas and Electric Company,California,Calaveras,Pioneer
Pacific Gas and Electric Company,California,Calaveras,Sheep Ranch
Pacific Gas and Electric Company,California,Calaveras,Wilseyville
Pacific Gas and Electric Company,California,Colusa,Elk Creek
Pacific Gas and Electric Company,California,Colusa,Meridian
Pacific Gas and Electric Company,California,Contra Costa,Canyon
Pacific Gas and Electric Company,California,Contra Costa,Isleton
Pacific Gas and Electric Company,California,Contra Costa,Livermore
Pacific Gas and Electric Company,California,Contra Costa,Pleasanton
Pacific Gas and Electric Company,California,Contra Costa,Rio Vista
Pacific Gas and Electric Company,California,Contra Costa,Unknown
Pacific Power,California,Del Norte,Unknown
Liberty Utilities,California,El Dorado,El Dorado
Liberty Utilities,California,El Dorado,Unknown
Pacific Gas and Electric Company,California,El Dorado,Cool
Pacific Gas and Electric Company,California,El Dorado,Echo Lake
Pacific Gas and Electric Company,California,El Dorado,El Dorado
Pacific Gas and Electric Company,California,El Dorado,Fair Play
Pacific Gas and Electric Company,California,El Dorado,Fiddletown
Pacific Gas and Electric Company,California,El Dorado,Garden Valley
Pacific Gas and Electric Company,California,El Dorado,Greenwood
Pacific Gas and Electric Company,California,El Dorado,Kelsey
Pacific Gas and Electric Company,California,El Dorado,Kyburz
Pacific Gas and Electric Company,California,El Dorado,Latrobe
Pacific Gas and Electric Company,California,El Dorado,Lotus
Pacific Gas and Electric Company,California,El Dorado,Mount Aukum
Pacific Gas and Electric Company,California,El Dorado,Pacific House
Pacific Gas and Electric Company,California,El Dorado,Pilot Hill
Pacific Gas and Electric Company,California,El Dorado,Rescue
Pacific Gas and Electric Company,California,El Dorado,Somerset
Pacific Gas and Electric Company,California,El Dorado,Twin Bridges
Pacific Gas and Electric Company,California,El Dorado,Unknown
Pacific Gas and Electric Company,California,Fresno,Dinuba
Pacific Gas and Electric Company,California,Fresno,Dos Palos
Pacific Gas and Electric Company,California,Fresno,Dunlap
Pacific Gas and Electric Company,California,Fresno,Five Points
Pacific Gas and Electric Company,California,Fresno,Helm
Pacific Gas and Electric Company,California,Fresno,Hume
Pacific Gas and Electric Company,California,Fresno,Kings Canyon National Park
Pacific Gas and Electric Company,California,Fresno,Lakeshore
Pacific Gas and Electric Company,California,Fresno,Miramonte
Pacific Gas and Electric Company,California,Fresno,North Fork
Pacific Gas and Electric Company,California,Fresno,Piedra
Pacific Gas and Electric Company,California,Fresno,Prather
Pacific Gas and Electric Company,California,Fresno,Tollhouse
Pacific Gas and Electric Company,California,Fresno,Unknown
Southern California Edison,California,Fresno,Unincorporated Area
Pacific Gas and Electric Company,California,Glenn,Bend
Pacific Gas and Electric Company,California,Glenn,Butte City
Pacific Gas and Electric Company,California,Glenn,Chico
Pacific Gas and Electric Company,California,Glenn,Glenn
Pacific Gas and Electric Company,California,Humboldt,Bayside
Pacific Gas and Electric Company,California,Humboldt,Blocksburg
Pacific Gas and Electric Company,California,Humboldt,Bridgeville
Pacific Gas and Electric Company,California,Humboldt,Carlotta
Pacific Gas and Electric Company,California,Humboldt,Dunsmuir
Pacific Gas and Electric Company,California,Humboldt,Forks of Salmon
Pacific Gas and Electric Company,California,Humboldt,Honeydew
Pacific Gas and Electric Company,California,Humboldt,Kneeland
Pacific Gas and Electric Company,California,Humboldt,Korbel
Pacific Gas and Electric Company,California,Humboldt,Mckinleyville
Pacific Gas and Electric Company,California,Humboldt,Orleans
Pacific Gas and Electric Company,California,Humboldt,Petrolia
Pacific Gas and Electric Company,California,Humboldt,Piercy
Pacific Gas and Electric Company,California,Humboldt,Ruth
Pacific Gas and Electric Company,California,Humboldt,Somes Bar
Pacific Gas and Electric Company,California,Humboldt,Unknown
Pacific Gas and Electric Company,California,Humboldt,Westhaven
Pacific Gas and Electric Company,California,Humboldt,Whitethorn
Imperial Irrigation District,California,Imperial,Thermal
Imperial Irrigation District,California,Imperial,Unknown
Southern California Edison,California,Imperial,Unincorporated Area
Southern California Edison,California,Inyo,Unincorporated Area
Pacific Gas and Electric Company,California,Kern,Bear Valley
Pacific Gas and Electric Company,California,Kern,Caliente
Pacific Gas and Electric Company,California,Kern,Earlimart
Pacific Gas and Electric Company,California,Kern,Mc Farland
Pacific Gas and Electric Company,California,Kern,Mc Kittrick
Pacific Gas and Electric Company,California,Kern,Santa Margarita
Pacific Gas and Electric Company,California,Kern,Unknown
Southern California Edison,California,Kern,Alpine Forest
Southern California Edison,California,Kern,Cantil
Southern California Edison,California,Kern,Lake Of The Woods
Southern California Edison,California,Kern,Mesa
Southern California Edison,California,Kern,Sand Canyon
Southern California Edison,California,Kern,Twin Oaks
Southern California Edison,California,Kern,Unincorporated Area
Southern California Edison,California,Kern,Unknown
Pacific Gas and Electric Company,California,Kings,Alpaugh
Pacific Gas and Electric Company,California,Kings,Kingsburg
Pacific Gas and Electric Company,California,Kings,Riverdale
Pacific Gas and Electric Company,California,Kings,Unknown
Southern California Edison,California,Kings,Unincorporated Area
Pacific Gas and Electric Company,California,Lake,Glenhaven
Pacific Gas and Electric Company,California,Lake,Loch Lomond
Pacific Gas and Electric Company,California,Lake,Unknown
Pacific Gas and Electric Company,California,Lake,Witter Springs
Pacific Gas and Electric Company,California,Lassen,Almanor
Pacific Gas and Electric Company,California,Lassen,McArthur
Los Angeles Department of Water & Power,California,Los Angeles,Adams-normandie
Los Angeles Department of Water & Power,California,Los Angeles,Arleta
Los Angeles Department of Water & Power,California,Los Angeles,Arlington Heights
Los Angeles Department of Water & Power,California,Los Angeles,Atwater Village
Los Angeles Department of Water & Power,California,Los Angeles,Baldwin Hills/crenshaw
Los Angeles Department of Water & Power,California,Los Angeles,Bel-air
Los Angeles Department of Water & Power,California,Los Angeles,Beverly Crest
Los Angeles Department of Water & Power,California,Los Angeles,Beverly Grove
Los Angeles Department of Water & Power,California,Los Angeles,Beverlywood
Los Angeles Department of Water & Power,California,Los Angeles,Boyle Heights
Los Angeles Department of Water & Power,California,Los Angeles,Brentwood
Los Angeles Department of Water & Power,California,Los Angeles,Broadway-manchester
Los Angeles Department of Water & Power,California,Los Angeles,Canoga Park
Los Angeles Department of Water & Power,California,Los Angeles,Carthay
Los Angeles Department of Water & Power,California,Los Angeles,Central-alameda
Los Angeles Department of Water & Power,California,Los Angeles,Century
Los Angeles Department of Water & Power,California,Los Angeles,Century City
Los Angeles Department of Water & Power,California,Los Angeles,Chatsworth
Los Angeles Department of Water & Power,California,Los Angeles,Chesterfield Square
Los Angeles Department of Water & Power,California,Los Angeles,Cheviot Hills
Los Angeles Department of Water & Power,California,Los Angeles,Chinatown
Los Angeles Department of Water & Power,California,Los Angeles,Culver
Los Angeles Department of Water & Power,California,Los Angeles,Cypress Park
Los Angeles Department of Water & Power,California,Los Angeles,Del Rey
Los Angeles Department of Water & Power,California,Los Angeles,Downtown
Los Angeles Department of Water & Power,California,Los Angeles,Eagle Rock
Los Angeles Department of Water & Power,California,Los Angeles,East Hollywood
Los Angeles Department of Water & Power,California,Los Angeles,Echo Park
Los Angeles Department of Water & Power,California,Los Angeles,El Sereno
Los Angeles Department of Water & Power,California,Los Angeles,Elysian Park
Los Angeles Department of Water & Power,California,Los Angeles,Elysian Valley
Los Angeles Department of Water & Power,California,Los Angeles,Encino
Los Angeles Department of Water & Power,California,Los Angeles,Exposition Park
Los Angeles Department of Water & Power,California,Los Angeles,Fairfax
Los Angeles Department of Water & Power,California,Los Angeles,Florence
Los Angeles Department of Water & Power,California,Los Angeles,Florence-firestone
Los Angeles Department of Water & Power,California,Los Angeles,Glassell Park
Los Angeles Department of Water & Power,California,Los Angeles,Gramercy Park
