County,Count,TotalHU,CustomerOut,CustomerMinutes,MedCustomerMinutes,MinCustomerMinutes,MaxCustomerMinutes,AvgCustomerMinutes,MedCustomerOut,MinCustomerOut,MaxCustomerOut,AvgCustomerOut,TotalDuration,AvgDuration,MedDuration,MaxDuration,MinDuration,PctCustomerOut,PctDuration
Alameda,79,619166,693679,85928577400,5553600,1173240,62816737050,1087703511.392405,5572,3118,74760,8780.746835443038,20110,254.55696202531655,100,3870,60,0.2800860350859059,0.96
Alpine,15,1822,19533,8279297030,7572800,435120,4974655140,551953135.3333333,1335,722,1808,1302.2,16460,1097.3333333333335,320,5460,70,2.680159165751921,0.7799999999999999
Amador,91,19079,232877,21623859970,3199200,188820,5940702240,237624834.8351648,1438,524,16651,2559.087912087912,35230,387.1428571428571,150,4070,60,3.051483306252948,1.68
Butte,139,88341,541039,2551978851310,2490000,236520,919013296680,18359560081.366898,1586,510,33689,3892.366906474819,235500,1694.2446043165487,120,59900,60,1.5311095640755708,11.200000000000001
Calaveras,84,29159,222636,61571587350,3737800,299460,27313317900,732995087.5,1347.5,517,24402,2650.4285714285706,50810,604.8809523809524,170,5360,60,1.9088103158544532,2.42
Colusa,20,8220,34607,763469570,1335860,270720,339077000,38173478.5,1098.5,510,5612,1730.35,6110,305.5,110,1820,60,1.0525243309002432,0.29
Contra Costa,77,421474,569316,93620666070,3132100,781320,74086191480,1215852806.1038954,4057,2174,74464,7393.714285714284,21010,272.85714285714283,90,4920,60,0.33769342830162713,1
Del Norte,30,11590,91089,818865680,3174030,308840,271257240,27295522.666666668,2183.5,631,10515,3036.3000000000006,8670,289,150,1830,60,1.9648188093183778,0.41000000000000003
El Dorado,178,93927,807728,395822528930,2351430,199440,173523398580,2223722072.640453,1543,508,72584,4537.7977528089905,99930,561.4044943820223,140,7140,60,2.149882355446251,4.75
Fresno,101,338718,435657,46201697800,2626610,624900,40143300960,457442552.47524774,2816,1729,69159,4313.435643564357,33480,331.4851485148514,100,11760,60,0.32154845623793243,1.59
Glenn,34,11185,39110,321864500,2993870,268520,54227040,9466602.94117647,917,507,6353,1150.294117647059,9200,270.5882352941177,190,930,60,0.8741618238712562,0.44
Humboldt,114,63591,277337,52605931770,2854210,180360,26859335520,461455541.8421051,1409.5,501,55497,2432.780701754385,47860,419.8245614035088,145,6870,60,1.0903154534446697,2.2800000000000002
Imperial,9,58658,10017,101808771080,36298920,218880,90304029200,11312085675.555555,870,582,2513,1113,42330,4703.333333333334,790,21680,60,0.04269238637525998,2.01
Inyo,5,9478,8303,69786760,3551310,1012720,32071680,13957352,817,735,4385,1660.6,1380,276,210,640,80,0.21900717450939017,0.06999999999999999
