month,County,Count,TotalHU,CustomerOut,CustomerMinutes,MedCustomerMinutes,MinCustomerMinutes,MaxCustomerMinutes,AvgCustomerMinutes,MedCustomerOut,MinCustomerOut,MaxCustomerOut,AvgCustomerOut,TotalDuration,MaxDuration,MinDuration,AvgDuration,MedDuration,PctCustomerOut,PctDuration
Apr,Alameda,3,619166,15012,79957260,2632320,1173240,76151700,26652420,3259,3255,8498,5004,450,300,60,150,90,0.006061379339304807,0.02
Apr,Alpine,1,1822,1355,1097550,1097550,1097550,1097550,1097550,1355,1355,1355,1355,90,90,90,90,90,0.18592206366630076,0
Apr,Amador,2,19079,4155,64872560,32436280,9118460,55754100,32436280,2077.5,1378,2777,2077.5,710,450,260,355,355,0.0544446773939934,0.03
Apr,Butte,6,88341,15953,32215650,2137500,324360,22393100,5369275,1493.5,626,7296,2658.833333333333,1070,610,60,178.33333333333331,105,0.04514608166083699,0.05
Apr,Calaveras,3,29159,3046,6688930,3017770,314160,3357000,2229643.3333333335,1031,642,1373,1015.3333333333334,440,190,70,146.66666666666666,180,0.026115436057477966,0.02
Apr,Colusa,2,8220,3554,2945660,1472830,1379920,1565740,1472830,1777,1294,2260,1777,190,110,80,95,95,0.10809002433090024,0.01
Apr,Contra Costa,4,421474,18699,11841100,2390840,947100,6112320,2960275,4496,2695,7012,4674.75,320,120,60,80,70,0.011091431499926448,0.02
Apr,El Dorado,7,93927,19606,1373531460,2412000,545020,1358583300,196218780,2944,918,5669,2800.8571428571427,3610,2900,70,515.7142857142857,110,0.05218414300467384,0.16999999999999998
Apr,Fresno,7,338718,26753,37480030,3129000,627360,21930510,5354290,3991,1746,6930,3821.8571428571427,740,210,60,105.71428571428571,100,0.01974577672281957,0.04
Apr,Humboldt,7,63591,6956,41954140,519260,191880,34888840,5993448.571428572,657,533,2080,993.7142857142857,1150,530,60,164.28571428571428,80,0.027346637102734665,0.05
Apr,Imperial,1,58658,608,218880,218880,218880,218880,218880,608,608,608,608,60,60,60,60,60,0.0025912918953936376,0
Apr,Kern,2,303102,7187,2804960,1402480,847280,1957680,1402480,3593.5,1749,5438,3593.5,130,70,60,65,65,0.005927872465374693,0.01
Apr,Kings,7,47140,11233,290421470,2107980,509280,240040850,41488781.428571425,1513,541,3380,1604.7142857142858,2410,1190,70,344.28571428571433,180,0.05957254985150615,0.11
Apr,Lake,1,35492,566,201060,201060,201060,201060,201060,566,566,566,566,60,60,60,60,60,0.003986813929899696,0
Apr,Lassen,2,12710,3032,40408440,20204220,13926360,26482080,20204220,1516,1249,1783,1516,900,480,420,450,450,0.05963808025177026,0.04
Apr,Los Angeles,2,3571222,47899,222849360,111424680,98268240,124581120,111424680,23949.5,23475,24424,23949.5,450,240,210,225,225,0.0033531239446889607,0.02
Apr,Madera,4,51491,5566,20456270,808055,433920,18406240,5114067.5,901.5,678,3085,1391.5,630,340,80,157.5,105,0.027024140140995512,0.03
Apr,Marin,5,112601,13488,9808580,2355850,387200,3332670,1961716,2556,618,5380,2697.6,480,120,70,96,100,0.029946448077725774,0.02
Apr,Mariposa,1,10512,861,2111840,2111840,2111840,2111840,2111840,861,861,861,861,160,160,160,160,160,0.02047659817351598,0.01
Apr,Mendocino,8,41054,6643,12879850,738415,240960,6739200,1609981.25,779.5,575,1174,830.375,1040,300,60,130,90,0.04045281823939202,0.05
Apr,Merced,4,88113,4694,3475430,474345,278040,2248700,868857.5,770,712,2442,1173.5,320,100,60,80,80,0.01331812558873265,0.02
Apr,Modoc,1,5192,1199,431640,431640,431640,431640,431640,1199,1199,1199,1199,60,60,60,60,60,0.057733050847457626,0
Apr,Mono,2,14215,1117,730440,365220,217440,513000,365220,558.5,513,604,558.5,160,100,60,80,80,0.019644741470277876,0.01
Apr,Monterey,8,142847,13045,18639210,1316735,947610,7522610,2329901.25,1293,776,4323,1630.625,1060,230,90,132.5,110,0.0228303709563379,0.05
Apr,Napa,4,54759,5294,4472120,882280,379080,2328480,1118030,1335,665,1959,1323.5,360,120,60,90,90,0.02416954290618894,0.02
Apr,Nevada,6,54813,7906,16761240,3215200,234360,5280300,2793540,830.5,595,3644,1317.6666666666665,970,300,60,161.66666666666666,155,0.036058964114352436,0.05
Apr,Orange,1,1112447,21687,9311050,9311050,9311050,9311050,9311050,21687,21687,21687,21687,70,70,70,70,70,0.004873715332056269,0
Apr,Placer,4,172645,9073,14093560,2759445,574720,7999950,3523390,1679,898,4817,2268.25,540,190,80,135,135,0.013138231631382316,0.03
Apr,Plumas,2,16137,2396,3643360,1821680,236880,3406480,1821680,1198,658,1738,1198,200,140,60,100,100,0.03711966288653405,0.01
Apr,Riverside,3,867637,34626,80358590,21769880,8693370,49895340,26786196.666666668,11233,4676,18717,11542,480,220,90,160,170,0.009977098717551234,0.02
Apr,Sacramento,1,585981,3425,3425000,3425000,3425000,3425000,3425000,3425,3425,3425,3425,100,100,100,100,100,0.0014612248520003209,0
Apr,San Benito,1,20246,595,456030,456030,456030,456030,456030,595,595,595,595,90,90,90,90,90,0.007347130297342685,0
Apr,San Bernardino,6,735705,44270,167957040,4086655,1695420,86412390,27992840,5841,4336,14057,7378.333333333333,1050,400,60,175,80,0.015043393751571621,0.05
Apr,San Diego,2,1233344,22240,12693190,6346595,5196960,7496230,6346595,11120,6676,15564,11120,160,90,70,80,80,0.00450806911940221,0.01
Apr,San Francisco,3,408176,18869,85826750,1623280,1126720,83076750,28608916.666666664,2538,2326,14005,6289.666666666667,400,250,70,133.33333333333334,80,0.01155690192465995,0.02
Apr,San Joaquin,3,252576,24547,734401250,4047680,1277120,729076450,244800416.6666667,3396,2715,18436,8182.333333333334,1060,850,80,353.3333333333333,130,0.0242966473457494,0.05
Apr,San Luis Obispo,6,123678,13217,25219630,798780,443450,13995400,4203271.666666666,1661,998,4938,2202.8333333333335,710,260,60,118.33333333333334,65,0.0267165542780446,0.03
Apr,San Mateo,5,281148,21642,24543540,2816760,819420,10477320,4908708,3513,2638,8991,4328.4,560,190,60,112,120,0.019244312604037733,0.03
Apr,Santa Barbara,15,160661,25977,117570890,5401920,537920,27719580,7838059.333333334,1126,813,4034,1731.8,3250,500,60,216.66666666666669,160,0.04042206882815369,0.15
Apr,Santa Clara,3,681145,19207,66588110,5763680,2668080,58156350,22196036.666666664,4767,4180,10260,6402.333333333333,510,350,80,170,80,0.0070495268995588315,0.02
Apr,Santa Cruz,9,106148,10947,10336430,844640,205260,4331520,1148492.2222222222,1257,571,1834,1216.3333333333333,830,160,60,92.22222222222223,80,0.025782398161058144,0.04
Apr,Shasta,2,78241,4956,7735440,3867720,1703160,6032280,3867720,2478,2443,2513,2478,260,170,90,130,130,0.015835687171687478,0.01
Apr,Siskiyou,4,24388,4048,7904130,1202925,807840,4690440,1976032.5,739.5,656,1913,1012,590,270,90,147.5,115,0.0414958176152206,0.03
Apr,Solano,3,161786,10492,12878820,1778340,758880,10341600,4292940,3440,2108,4944,3497.3333333333335,320,200,60,106.66666666666667,60,0.016212774900176776,0.02
Apr,Sonoma,4,206362,12627,21368760,2787820,909600,14883520,5342190,2604.5,1447,5971,3156.75,450,160,80,112.5,105,0.015297147730686852,0.02
Apr,Sutter,2,34675,4221,2073600,1036800,939000,1134600,1036800,2110.5,1069,3152,2110.5,160,100,60,80,80,0.030432588320115358,0.01
Apr,Tehama,3,27858,3712,19183850,5117850,1028800,13037200,6394616.666666667,1029,825,1858,1237.3333333333333,670,400,100,223.33333333333334,170,0.033311795534496376,0.03
Apr,Tulare,4,151433,22920,42289070,4774240,1205760,31534830,10572267.5,2957.5,1235,15770,5730,730,510,60,182.5,80,0.03783851604339873,0.03
Apr,Tuolumne,4,32009,10549,568111410,6388505,1510400,553824000,142027852.5,2672,1703,3502,2637.25,2780,2400,80,695,150,0.08239089006217001,0.13
Apr,Ventura,9,290889,35174,29656090,2159520,781480,9770400,3295121.111111111,2915,1520,10256,3908.222222222222,840,120,70,93.33333333333333,90,0.030229743991694428,0.04
Apr,Yolo,5,79713,11492,5760620,1000400,554240,2130240,1152124,1684,866,5851,2298.4,460,120,70,92,90,0.03604179995734698,0.02
Apr,Yuba,2,29477,3937,2641820,1320910,1243620,1398200,1320910,1968.5,1399,2538,1968.5,170,100,70,85,85,0.03339044000407097,0.01
