County,type,Count,TotalHU,CustomerOut,CustomerMinutes,MedCustomerMinutes,MinCustomerMinutes,MaxCustomerMinutes,AvgCustomerMinutes,MedCustomerOut,MinCustomerOut,MaxCustomerOut,AvgCustomerOut,TotalDuration,AvgDuration,MedDuration,MaxDuration,MinDuration,PctCustomerOut,PctDuration
Alameda,Not Wildfire-induced,77,619166,667234,84850480280,5189120,1173240,62816737050,1101954289.3506494,5571,3118,74760,8665.376623376626,18690,242.72727272727275,90,3870,60,0.2694083654464231,0.89
Alpine,Not Wildfire-induced,13,1822,16394,6290501190,7572800,435120,4974655140,483884706.923077,1335,722,1808,1261.076923076923,12820,986.1538461538462,320,5460,70,2.249451152579583,0.61
Amador,Not Wildfire-induced,90,19079,216226,19402558420,3110800,188820,5940702240,215583982.44444436,1430.5,524,13118,2402.511111111111,33640,373.77777777777777,150,4070,60,2.833298390900991,1.6
Butte,Not Wildfire-induced,127,88341,378157,67223929340,2070900,236520,54651376500,529322278.2677168,1564,510,33689,2977.6141732283472,40400,318.11023622047236,110,6780,60,1.0701627783249001,1.92
Calaveras,Not Wildfire-induced,80,29159,165527,18791903810,3538900,299460,3943745320,234898797.625,1272,517,13713,2069.0875,41020,512.75,160,5360,60,1.419175897664529,1.95
Colusa,Not Wildfire-induced,15,8220,26934,403752250,1291800,413100,339077000,26916816.666666668,903,510,5612,1795.6,3030,202,110,1000,60,0.8191605839416058,0.13999999999999999
Contra Costa,Not Wildfire-induced,76,421474,550583,92985215070,3074700,781320,74086191480,1223489671.9736834,4037.5,2174,74464,7244.513157894739,20010,263.2894736842105,90,4920,60,0.32658182948414377,0.95
Del Norte,Not Wildfire-induced,30,11590,91089,818865680,3174030,308840,271257240,27295522.666666668,2183.5,631,10515,3036.3000000000006,8670,289,150,1830,60,1.9648188093183778,0.41000000000000003
El Dorado,Not Wildfire-induced,172,93927,636545,260124148050,2193235,199440,173523398580,1512349697.965115,1428,508,72584,3700.843023255812,82110,477.3837209302324,130,7140,60,1.694254580685,3.91
Fresno,Not Wildfire-induced,100,338718,429551,44842135480,2591575,624900,40143300960,448421354.8000003,2777.5,1729,69159,4295.509999999999,31860,318.59999999999985,95,11760,60,0.3170417574501503,1.52
Glenn,Not Wildfire-induced,29,11185,32018,220923970,2249100,268520,49132830,7618067.931034483,903,507,6353,1104.0689655172416,7140,246.20689655172413,160,930,60,0.7156459544032185,0.33999999999999997
Humboldt,Not Wildfire-induced,113,63591,221840,52511443830,2835200,180360,26859335520,464703042.74336314,1370,501,22417,1963.1858407079649,47680,421.94690265486736,140,6870,60,0.8721359940872137,2.27
Imperial,Not Wildfire-induced,9,58658,10017,101808771080,36298920,218880,90304029200,11312085675.555555,870,582,2513,1113,42330,4703.333333333334,790,21680,60,0.04269238637525998,2.01
Inyo,Not Wildfire-induced,5,9478,8303,69786760,3551310,1012720,32071680,13957352,817,735,4385,1660.6,1380,276,210,640,80,0.21900717450939017,0.06999999999999999
Kern,Not Wildfire-induced,158,303102,628379,8215768320,3220985,551520,2080340440,51998533.6708861,3141.5,1532,16155,3977.082278481013,32990,208.79746835443044,100,2060,60,0.5182900475747438,1.5699999999999998
Kings,Not Wildfire-induced,60,47140,108229,606060230,1023260,190080,240040850,10101003.833333332,1094,507,11695,1803.8166666666668,9230,153.83333333333331,90,1190,60,0.5739764531183708,0.44
Lake,Not Wildfire-induced,75,35492,153290,20292053750,1552980,180780,11851508940,270560716.6666668,1190,503,12139,2043.8666666666666,28680,382.4000000000002,120,6690,60,1.079750366279725,1.3599999999999999
Lassen,Not Wildfire-induced,17,12710,23442,567956450,11296920,468720,328980000,33409202.94117647,1126,512,4164,1378.9411764705883,6820,401.17647058823525,400,1500,60,0.46109362706530294,0.32
Los Angeles,Not Wildfire-induced,22,3571222,665899,16556157990,43650370,6606480,7052889950,752552635.9090909,25772,18462,55584,30268.136363636364,7080,321.81818181818187,140,1730,60,0.04661562624782217,0.33999999999999997
Madera,Not Wildfire-induced,89,51491,170664,5106541280,1380500,181440,3539551500,57376868.314606786,1347,504,16783,1917.5730337078653,19390,217.86516853932582,100,2660,60,0.8286108251927521,0.9199999999999999
Marin,Not Wildfire-induced,126,112601,453331,12917326660,2362425,222420,5888281230,102518465.55555564,2028,594,61314,3597.8650793650786,31010,246.11111111111111,120,3200,60,1.0064986101366773,1.47
Mariposa,Not Wildfire-induced,47,10512,80060,8062030170,3735430,201960,5020987860,171532556.80851063,776,517,10268,1703.4042553191491,25690,546.595744680851,190,4830,60,1.9040144596651445,1.22
Mendocino,Not Wildfire-induced,92,41054,170494,8766266460,2136955,187920,2657882670,95285505,1048,522,31877,1853.1956521739137,30080,326.9565217391304,130,3810,60,1.0382301359185464,1.43
Merced,Not Wildfire-induced,93,88113,169599,449732990,1172710,196740,103915560,4835838.602150538,1184,507,14686,1823.6451612903224,12200,131.18279569892474,100,840,60,0.4811974396513568,0.58
Modoc,Not Wildfire-induced,1,5192,1199,431640,431640,431640,431640,431640,1199,1199,1199,1199,60,60,60,60,60,0.057733050847457626,0
Mono,Not Wildfire-induced,39,14215,55907,1074474440,2083690,216360,338023750,27550626.666666668,961,507,11511,1433.5128205128206,12750,326.9230769230769,160,1590,60,0.9832395357017235,0.61
Monterey,Not Wildfire-induced,176,142847,546791,39741908500,2183715,274080,17339987270,225806298.29545465,1890,716,69169,3106.7670454545464,49470,281.0795454545455,110,6310,60,0.956952193605746,2.35
Napa,Not Wildfire-induced,122,54759,356618,261491453190,2323200,183660,109549385220,2143372567.1311464,1617.5,511,46806,2923.0983606557384,93050,762.7049180327864,130,15970,60,1.6281250570682444,4.43
Nevada,Not Wildfire-induced,99,54813,297139,137986315790,2908200,234360,122346354800,1393801169.5959587,1472,501,42064,3001.4040404040397,41780,422.020202020202,150,6800,60,1.355239632933793,1.9900000000000002
Orange,Not Wildfire-induced,19,1112447,322235,2094512030,7436340,2113440,1364312640,110237475.2631579,13317,5577,71905,16959.736842105263,3300,173.68421052631578,80,960,60,0.07241580947227148,0.16
Placer,Not Wildfire-induced,103,172645,335576,104656368420,2534400,313080,99269220540,1016081246.7961159,2176,870,33520,3258.019417475729,30020,291.4563106796117,120,6740,60,0.4859335630918938,1.43
Plumas,Not Wildfire-induced,40,16137,91550,12363668810,4357060,211140,6364499400,309091720.25,1389,518,11845,2288.75,24320,608,200,4050,60,1.4183243477722005,1.16
Riverside,Not Wildfire-induced,68,867637,734930,20680100560,20501410,1575720,4422463920,304119125.882353,10134.5,4377,25743,10807.79411764706,23560,346.47058823529414,160,1840,60,0.21176194652832925,1.1199999999999999
Sacramento,Not Wildfire-induced,43,585981,630574,5877434130,6104280,1317000,5123374900,136684514.6511628,6867,3425,140044,14664.511627906977,6090,141.6279069767442,90,1450,60,0.2690249342555475,0.29
San Benito,Not Wildfire-induced,18,20246,37061,653790200,922645,224520,602778440,36321677.77777777,978,516,9406,2058.9444444444443,4500,250,95,2420,60,0.4576336066383483,0.21
San Bernardino,Not Wildfire-induced,106,735705,1072734,14862932010,12675440,1361040,3356869100,140216339.71698114,7431,3683,68512,10120.132075471696,28070,264.811320754717,150,1590,60,0.3645258629477848,1.34
San Diego,Not Wildfire-induced,25,1233344,496304,25200760440,14715360,2356320,9725223200,1008030417.5999999,15030,6574,73789,19852.16,10750,430,100,2200,60,0.10060129209693322,0.51
San Francisco,Not Wildfire-induced,61,408176,355698,687441630,3369280,750240,266354040,11269534.918032782,4625,2085,26468,5831.114754098361,7170,117.54098360655739,90,860,60,0.21785822782329192,0.33999999999999997
San Joaquin,Not Wildfire-induced,80,252576,248942,3763079030,1672830,479040,1393176060,47038487.875,2185.5,1276,18436,3111.775,13230,165.375,90,2370,60,0.24640306284049157,0.63
San Luis Obispo,Not Wildfire-induced,124,123678,277240,1866232260,1756880,227580,463811280,15050260.161290314,1527.5,634,18915,2235.8064516129034,22250,179.4354838709677,110,1410,60,0.5604068629829072,1.06
San Mateo,Not Wildfire-induced,90,281148,491783,85369021500,2837820,509760,76830945280,948544683.3333336,3432.5,1418,54625,5464.2555555555555,25450,282.7777777777777,100,5120,60,0.4372990382289755,1.21
Santa Barbara,Not Wildfire-induced,168,160661,485031,5047681440,2978010,292200,1658780480,30045722.857142866,1406,813,56656,2887.089285714287,38560,229.52380952380952,140,2240,60,0.754742905870124,1.83
Santa Clara,Not Wildfire-induced,78,681145,653539,45264696250,6942665,1302120,33223366440,580316618.5897431,5737,3618,37863,8378.705128205129,20190,258.84615384615387,110,3960,60,0.23986779613738632,0.96
Santa Cruz,Not Wildfire-induced,174,106148,554553,394934070830,2718105,195960,192244806000,2269736039.2528768,1518.5,541,47228,3187.0862068965525,108810,625.344827586206,140,30600,60,1.30608442928741,5.18
Shasta,Not Wildfire-induced,105,78241,249462,367816613100,3043200,195720,173619948000,3503015362.857141,996,500,30929,2375.828571428571,77420,737.3333333333333,160,19430,60,0.79709487353178,3.6799999999999997
Sierra,Not Wildfire-induced,45,2401,39075,8297512560,4325350,225360,5642117420,184389168,723,541,1345,868.3333333333334,30010,666.888888888889,240,6970,60,4.068617242815494,1.43
Siskiyou,Not Wildfire-induced,58,24388,113505,570794200,2605940,201600,123029950,9841279.310344826,993,507,22064,1956.9827586206893,12310,212.2413793103448,155,970,60,1.1635332950631458,0.59
Solano,Not Wildfire-induced,132,161786,448829,55467153870,2580260,361140,46576454400,420205711.13636345,2433,825,33125,3400.2196969696975,37300,282.57575757575734,120,5760,60,0.6935535213182846,1.77
Sonoma,Not Wildfire-induced,145,206362,644556,906449612310,2458400,373320,623482116290,6251376636.6206875,2076,1033,105599,4445.213793103448,67620,466.34482758620703,110,15200,60,0.7808559715451489,3.2199999999999998
Stanislaus,Not Wildfire-induced,17,186003,42760,198889890,2196480,522000,124289280,11699405.294117648,2170,1112,6946,2515.294117647059,2480,145.88235294117646,110,480,60,0.05747219130874233,0.12
Sutter,Not Wildfire-induced,27,34675,66590,687839420,1134600,203760,626342640,25475534.074074067,1583,566,16529,2466.2962962962965,3540,131.11111111111111,90,660,60,0.4801009372746936,0.16999999999999998
Tehama,Not Wildfire-induced,87,27858,188435,54371247830,2113430,182160,48205655940,624956871.6091952,953,506,23229,2165.9195402298847,32370,372.0689655172415,150,6630,60,1.6910313016009764,1.54
Trinity,Not Wildfire-induced,17,8951,11752,3872238850,5136000,719950,2610206430,227778755.88235298,595,505,1303,691.2941176470588,17010,1000.5882352941177,320,5430,110,0.32823148251592,0.8099999999999999
Tulare,Not Wildfire-induced,112,151433,228773,7682546700,1728980,291240,4138550550,68594166.96428567,1516,759,15770,2042.6160714285713,30780,274.8214285714286,110,5130,60,0.37768022821974073,1.46
Tuolumne,Not Wildfire-induced,101,32009,284513,5533064571040,3003300,184320,5510120689500,54782817535.04951,1696,512,30347,2816.9603960396034,217550,2153.960396039606,150,178270,60,2.222132837639414,10.35
Ventura,Not Wildfire-induced,123,290889,463190,3526776590,3078720,537180,1517499180,28672980.406504057,2747,1513,19764,3765.7723577235774,23310,189.5121951219512,100,1460,60,0.3980813987466009,1.11
