County,type,Count,TotalHU,CustomerOut,CustomerMinutes,MedCustomerMinutes,MinCustomerMinutes,MaxCustomerMinutes,AvgCustomerMinutes,MedCustomerOut,MinCustomerOut,MaxCustomerOut,AvgCustomerOut,TotalDuration,AvgDuration,MedDuration,MaxDuration,MinDuration,PctCustomerOut,PctDuration
Alpine,PSPS,2,1822,3139,1988795840,994397920,1270080,1987525760,994397920,1569.5,1333,1806,1569.5,3640,1820,1820,3520,120,0.4307080131723381,0.16999999999999998
Amador,PSPS,1,19079,16651,2221301550,2221301550,2221301550,2221301550,2221301550,16651,16651,16651,16651,1590,1590,1590,1590,1590,0.21818491535195764,0.08
Butte,PSPS,7,88341,111381,834002300870,4788758010,1072500,731579125900,119143185838.57143,16661,887,28445,15911.57142857143,82320,11760,1770,59900,110,0.31520188813801064,3.92
Calaveras,PSPS,4,29159,57109,42779683540,7731679340,3006960,27313317900,10694920885,15090.5,2526,24402,14277.25,9790,2447.5,2365,4950,110,0.4896344181899242,0.47000000000000003
Colusa,PSPS,5,8220,7673,359717320,8994260,270720,192485020,71943464,1974,663,2253,1534.6,3080,616,220,1820,60,0.23336374695863746,0.15
El Dorado,PSPS,5,93927,170351,135689142280,14197524750,110856240,66214574400,27137828456,37917,4984,52337,34070.2,17470,3494,4310,5710,220,0.453413289043619,0.83
Fresno,PSPS,1,338718,6106,1359562320,1359562320,1359562320,1359562320,1359562320,6106,6106,6106,6106,1620,1620,1620,1620,1620,0.004506698787782167,0.08
Glenn,PSPS,4,11185,6560,86579690,12237690,7877270,54227040,21644922.5,1732.5,926,2169,1640,1540,385,375,560,230,0.1466249441215914,0.06999999999999999
Humboldt,PSPS,1,63591,55497,94487940,94487940,94487940,94487940,94487940,55497,55497,55497,55497,180,180,180,180,180,0.21817945935745625,0.01
Kern,PSPS,5,303102,23196,2950450640,670150150,891660,1296853530,590090128,3280,1804,8813,4639.2,4770,954,1010,1800,70,0.019132173327790644,0.22999999999999998
Lake,PSPS,2,35492,36852,21586648470,10793324235,2750978530,18835669940,10793324235,18426,14124,22728,18426,4870,2435,2435,3140,1730,0.25957962357714415,0.22999999999999998
Los Angeles,PSPS,1,3571222,23586,10105620,10105620,10105620,10105620,10105620,23586,23586,23586,23586,70,70,70,70,70,0.00165111550052055,0
Madera,PSPS,1,51491,19850,11205776220,11205776220,11205776220,11205776220,11205776220,19850,19850,19850,19850,3180,3180,3180,3180,3180,0.09637606572022295,0.15
Marin,PSPS,3,112601,28987,7791618060,43099700,2035200,7746483160,2597206020,10202,2874,15911,9662.333333333334,3560,1186.6666666666667,230,3230,100,0.0643577765739203,0.16999999999999998
Mariposa,PSPS,1,10512,1844,934128750,934128750,934128750,934128750,934128750,1844,1844,1844,1844,2550,2550,2550,2550,2550,0.043854642313546424,0.12
Mendocino,PSPS,3,41054,15923,6016560740,14512800,6087620,5995960320,2005520246.6666665,6173,3104,6646,5307.666666666667,3710,1236.6666666666665,240,3360,110,0.0969637550543187,0.18
Merced,PSPS,1,88113,1713,9060160,9060160,9060160,9060160,9060160,1713,1713,1713,1713,230,230,230,230,230,0.004860236287494467,0.01
Mono,PSPS,1,14215,2552,62809040,62809040,62809040,62809040,62809040,2552,2552,2552,2552,590,590,590,590,590,0.04488216672529018,0.03
Napa,PSPS,8,54759,96234,231586747620,1056188270,4448020,196693064240,28948343452.5,7185.5,580,33399,12029.25,36040,4505,1335,26470,220,0.4393524352161289,1.71
Nevada,PSPS,4,54813,145199,119159944780,28816763150,73913520,61452504960,29789986195,39147.5,23003,43901,36299.75,11790,2947.5,3465,4620,240,0.6622470946673235,0.5599999999999999
Orange,PSPS,1,1112447,23214,373440780,373440780,373440780,373440780,373440780,23214,23214,23214,23214,610,610,610,610,610,0.005216877747883719,0.03
Placer,PSPS,7,172645,134433,54307258000,179150220,2249760,39454593580,7758179714.285714,14639,2110,48847,19204.714285714286,9520,1360,670,3620,80,0.19466680181876103,0.44999999999999996
Plumas,PSPS,1,16137,2205,2355884400,2355884400,2355884400,2355884400,2355884400,2205,2205,2205,2205,3760,3760,3760,3760,3760,0.034160624651422195,0.18
Riverside,PSPS,1,867637,12566,468800890,468800890,468800890,468800890,468800890,12566,12566,12566,12566,730,730,730,730,730,0.003620753840603847,0.03
San Bernardino,PSPS,2,735705,68673,7085567840,3542783920,420829760,6664738080,3542783920,34336.5,5409,63264,34336.5,2730,1365,1365,1690,1040,0.023335779966154914,0.13
San Diego,PSPS,5,1233344,100809,36524361590,8818883760,10243800,17511691590,7304872318,24293,7264,30688,20161.8,8870,1774,2320,3470,100,0.02043408002957812,0.42
San Mateo,PSPS,1,281148,3248,2076320,2076320,2076320,2076320,2076320,3248,3248,3248,3248,80,80,80,80,80,0.0028881585499452244,0
Santa Cruz,PSPS,1,106148,658,1107860,1107860,1107860,1107860,1107860,658,658,658,658,130,130,130,130,130,0.0015497230282247429,0.01
Shasta,PSPS,6,78241,101927,51049303230,4238637870,2443200,27366850450,8508217205,18862,616,27148,16987.833333333332,11360,1893.3333333333333,2155,3610,200,0.3256828261397477,0.54
Sierra,PSPS,4,2401,5061,4763664990,1164499890,1239000,2433426210,1190916247.5,1239,1239,1344,1265.25,10450,2612.5,2820,4710,100,0.5269679300291545,0.5
Siskiyou,PSPS,1,24388,2929,72441720,72441720,72441720,72441720,72441720,2929,2929,2929,2929,520,520,520,520,520,0.030025012301131703,0.02
Solano,PSPS,4,161786,70203,8646633740,79797370,524040,8486514960,2161658435,18017.5,1456,32712,17550.75,3520,880,150,3160,60,0.10848126537524878,0.16999999999999998
Sonoma,PSPS,8,206362,209021,105457107460,855867890,654840,61453740150,13182138432.5,17768,1819,67333,26127.625,13170,1646.25,960,4110,60,0.2532212810498057,0.63
Tehama,PSPS,4,27858,55449,33710056890,1029105630,49664160,31602181470,8427514222.5,13296.5,1789,27067,13862.25,7470,1867.5,1350,4530,240,0.49760391987938835,0.36
Trinity,PSPS,2,8951,2634,322879860,161439930,715360,322164500,161439930,1317,1118,1516,1317,1830,915,915,1750,80,0.0735671991956206,0.09
Tuolumne,PSPS,1,32009,28505,13209899760,13209899760,13209899760,13209899760,13209899760,28505,28505,28505,28505,2670,2670,2670,2670,2670,0.22263269705395358,0.13
Ventura,PSPS,9,290889,59193,15699615020,4699800,1706800,14474060130,1744401668.8888886,4202,2358,26561,6577,5840,648.888888888889,150,3210,70,0.050872497756876335,0.27999999999999997
Yolo,PSPS,2,79713,13746,926152010,463076005,27679050,898472960,463076005,6873,6556,7190,6873,2330,1165,1165,2120,210,0.04311091039102781,0.11
Yuba,PSPS,3,29477,14733,8285952970,1300495440,12582610,6972874920,2761984323.3333335,4879,3449,6405,4911,5640,1880,1720,3690,230,0.12495335346202124,0.27
