County,type,count,total_count,pct_total
Alameda,PSPS,0,79,0
Alpine,PSPS,2,15,13.33
Amador,PSPS,1,91,1.0999999999999999
Butte,PSPS,7,139,5.04
Calaveras,PSPS,4,84,4.760000000000001
Colusa,PSPS,5,20,25
Contra Costa,PSPS,0,77,0
Del Norte,PSPS,0,30,0
El Dorado,PSPS,5,178,2.81
Fresno,PSPS,1,101,0.9900000000000001
Glenn,PSPS,4,34,11.76
Humboldt,PSPS,1,114,0.88
Imperial,PSPS,0,9,0
Inyo,PSPS,0,5,0
Kern,PSPS,5,165,3.0300000000000002
Kings,PSPS,0,60,0
Lake,PSPS,2,79,2.53
Lassen,PSPS,0,17,0
Los Angeles,PSPS,1,29,3.45
Madera,PSPS,1,90,1.11
Marin,PSPS,3,130,2.31
Mariposa,PSPS,1,50,2
Mendocino,PSPS,3,96,3.1199999999999997
Merced,PSPS,1,94,1.06
Modoc,PSPS,0,1,0
Mono,PSPS,1,41,2.44
Monterey,PSPS,0,177,0
Napa,PSPS,8,134,5.970000000000001
Nevada,PSPS,4,103,3.88
Orange,PSPS,1,22,4.55
Placer,PSPS,7,110,6.36
Plumas,PSPS,1,43,2.33
Riverside,PSPS,1,73,1.37
Sacramento,PSPS,0,43,0
San Benito,PSPS,0,18,0
San Bernardino,PSPS,2,110,1.82
San Diego,PSPS,5,34,14.71
San Francisco,PSPS,0,61,0
San Joaquin,PSPS,0,82,0
San Luis Obispo,PSPS,0,125,0
San Mateo,PSPS,1,94,1.06
Santa Barbara,PSPS,0,168,0
Santa Clara,PSPS,0,80,0
Santa Cruz,PSPS,1,177,0.5599999999999999
Shasta,PSPS,6,114,5.26
Sierra,PSPS,4,50,8
Siskiyou,PSPS,1,60,1.67
Solano,PSPS,4,136,2.94
Sonoma,PSPS,8,158,5.06
Stanislaus,PSPS,0,17,0
Sutter,PSPS,0,27,0
Tehama,PSPS,4,92,4.35
Trinity,PSPS,2,19,10.530000000000001
Tulare,PSPS,0,113,0
Tuolumne,PSPS,1,103,0.97
Ventura,PSPS,9,142,6.34
Yolo,PSPS,2,90,2.22
Yuba,PSPS,3,64,4.6899999999999995
