County,type,Count,TotalHU,CustomerOut,CustomerMinutes,MedCustomerMinutes,MinCustomerMinutes,MaxCustomerMinutes,AvgCustomerMinutes,MedCustomerOut,MinCustomerOut,MaxCustomerOut,AvgCustomerOut,TotalDuration,AvgDuration,MedDuration,MaxDuration,MinDuration,PctCustomerOut,PctDuration
Alameda,Wildfire,2,619166,26445,1078097120,539048560,86232800,991864320,539048560,13222.5,7694,18751,13222.5,1420,710,710,1020,400,0.010677669639482789,0.06999999999999999
Butte,Wildfire,5,88341,51501,1650752621100,154031560,2248400,919013296680,330150524220,5753,1531,25696,10300.2,112780,22556,620,59900,110,0.14574489761266005,5.36
Contra Costa,Wildfire,1,421474,18733,635451000,635451000,635451000,635451000,635451000,18733,18733,18733,18733,1000,1000,1000,1000,1000,0.011111598817483404,0.05
El Dorado,Wildfire,1,93927,832,9238600,9238600,9238600,9238600,9238600,832,832,832,832,350,350,350,350,350,0.0022144857176317778,0.02
Glenn,Wildfire,1,11185,532,14360840,14360840,14360840,14360840,14360840,532,532,532,532,520,520,520,520,520,0.011890925346446134,0.02
Kern,Wildfire,2,303102,3087,7443910,3721955,2991100,4452810,3721955,1543.5,1539,1548,1543.5,310,155,155,170,140,0.0025461725755686203,0.01
Lake,Wildfire,2,35492,1699,16467360,8233680,2906400,13560960,8233680,849.5,841,858,849.5,630,315,315,420,210,0.011967485630564633,0.03
Los Angeles,Wildfire,6,3571222,294455,8772149820,82584820,7239960,8268801900,1462024970,33000.5,22771,114006,49075.833333333336,2520,420,160,1740,60,0.020613042258364224,0.12
Marin,Wildfire,1,112601,10060,132259800,132259800,132259800,132259800,132259800,10060,10060,10060,10060,600,600,600,600,600,0.02233550323709381,0.03
Mariposa,Wildfire,2,10512,1633,109882360,54941180,35064120,74818240,54941180,816.5,608,1025,816.5,1880,940,940,1120,760,0.038836567732115676,0.09
Mendocino,Wildfire,1,41054,989,1877820,1877820,1877820,1877820,1877820,989,989,989,989,140,140,140,140,140,0.00602255565840113,0.01
Mono,Wildfire,1,14215,2313,563118710,563118710,563118710,563118710,563118710,2313,2313,2313,2313,1870,1870,1870,1870,1870,0.040678860358775944,0.09
Monterey,Wildfire,1,142847,744,1674000,1674000,1674000,1674000,1674000,744,744,744,744,150,150,150,150,150,0.001302092448563848,0.01
Napa,Wildfire,4,54759,14984,193720640,18213325,662130,156631860,48430160,1776.5,819,10612,3746,1400,350,325,660,90,0.06840884603444183,0.06999999999999999
Orange,Wildfire,2,1112447,29821,375807540,187903770,2366760,373440780,187903770,14910.5,6607,23214,14910.5,670,335,335,610,60,0.006701667585062479,0.03
Plumas,Wildfire,2,16137,12314,658683360,329341680,717660,657965700,329341680,6157,886,11428,6157,990,495,495,900,90,0.19077275825742082,0.05
Riverside,Wildfire,4,867637,34852,595965620,59786285,7592160,468800890,148991405,7883,6520,12566,8713,1420,355,285,730,120,0.010042218116562572,0.06999999999999999
San Bernardino,Wildfire,2,735705,68281,6671878590,3335939295,7140510,6664738080,3335939295,34140.5,5017,63264,34140.5,1820,910,910,1690,130,0.023202574401424484,0.09
San Diego,Wildfire,4,1233344,69869,18998507180,4414563780,8221620,10161158000,4749626795,17657.5,7012,27542,17467.25,5330,1332.5,1215,2800,100,0.014162512648539256,0.25
San Joaquin,Wildfire,2,252576,70718,20006070,10003035,4085060,15921010,10003035,35359,3315,67403,35359,210,105,105,140,70,0.0699967534524262,0.01
San Luis Obispo,Wildfire,1,123678,3493,79352280,79352280,79352280,79352280,79352280,3493,3493,3493,3493,630,630,630,630,630,0.007060673684891412,0.03
San Mateo,Wildfire,3,281148,45632,4677241000,210663360,12306280,4454271360,1559080333.3333335,15643,10287,19702,15210.666666666666,2930,976.6666666666667,480,2310,140,0.04057649351942749,0.13999999999999999
Santa Clara,Wildfire,2,681145,35269,6312989830,3156494915,9551280,6303438550,3156494915,17634.5,7900,27369,17634.5,2090,1045,1045,1970,120,0.01294474744731298,0.1
Santa Cruz,Wildfire,2,106148,57886,1755912900,877956450,22316100,1733596800,877956450,28943,14258,43628,28943,1550,775,775,1450,100,0.13633323284470739,0.06999999999999999
Shasta,Wildfire,3,78241,12076,602187100,186063300,14693640,401430160,200729033.33333334,2068,1219,8789,4025.333333333333,3230,1076.6666666666667,1530,1570,130,0.038585907644329696,0.15
Sierra,Wildfire,1,2401,909,52738530,52738530,52738530,52738530,52738530,909,909,909,909,870,870,870,870,870,0.09464806330695544,0.04
Siskiyou,Wildfire,1,24388,870,599827340,599827340,599827340,599827340,599827340,870,870,870,870,2660,2660,2660,2660,2660,0.008918320485484665,0.13
Sonoma,Wildfire,5,206362,77580,17373315240,40741020,10883600,15663568440,3474663048,16141,1968,28471,15516,4950,990,260,3090,180,0.09398532675589498,0.24
Tehama,Wildfire,1,27858,12145,816136640,816136640,816136640,816136640,816136640,12145,12145,12145,12145,1520,1520,1520,1520,1520,0.10899023619786058,0.06999999999999999
Tulare,Wildfire,1,151433,1814,6142320,6142320,6142320,6142320,6142320,1814,1814,1814,1814,190,190,190,190,190,0.0029947237392114003,0.01
Tuolumne,Wildfire,1,32009,1457,2164630,2164630,2164630,2164630,2164630,1457,1457,1457,1457,130,130,130,130,130,0.011379611984129463,0.01
Ventura,Wildfire,10,290889,212509,16866534510,6207055,1432260,14474060130,1686653451,7573.5,1864,133824,21250.9,6990,699,135,3210,70,0.18263753527978027,0.33
Yolo,Wildfire,1,79713,1029,1450320,1450320,1450320,1450320,1450320,1029,1029,1029,1029,120,120,120,120,120,0.0032272025892890748,0.01
Yuba,Wildfire,1,29477,10357,1651677520,1651677520,1651677520,1651677520,1651677520,10357,10357,10357,10357,2480,2480,2480,2480,2480,0.08783967160837262,0.12
