month,month_num,duration_cate,Count,CustomerOut,CustomerMinutes,MedCustomerMinutes,MinCustomerMinutes,MaxCustomerMinutes,AvgCustomerMinutes,MedCustomerOut,MinCustomerOut,MaxCustomerOut,AvgCustomerOut,TotDuration,MaxDuration,MinDuration,AvgDuration,MedDuration,total_count,event_pct_total
Jan,01,25-72 hours,13,286023,25222837920,1720844820,271257240,5123374900,1940218301.5384614,13763,1264,140044,22001.76923076923,24610,3070,1450,1893.076923076923,1670,208,6.25
Jan,01,9-24 hours,40,148946,5485824390,89299710,24167600,419885780,137145609.75,3034,604,14420,3723.65,31140,1380,500,778.5,745,430,9.3
Jan,01,<= 8 hours,291,884200,1622309800,1950900,180780,77579790,5574947.766323024,1535,503,71905,3038.4879725085902,41190,470,60,141.54639175257734,110,3974,7.32
Feb,02,25-72 hours,20,166538,61767124430,2369111555,150719280,12336719820,3088356221.5,7515,598,26706,8326.9,59420,4230,1530,2971,3030,208,9.62
Feb,02,72+ hours,6,94760,259330231530,19523535655,6915225540,173619948000,43221705255,13883.5,8359,30929,15793.333333333334,42230,11400,5290,7038.333333333333,6495,55,10.91
Feb,02,9-24 hours,67,336573,15318146060,95320140,17465760,4274504860,228629045.67164177,2729,541,55380,5023.477611940299,54470,1340,490,812.9850746268656,760,430,15.58
Feb,02,<= 8 hours,319,904856,2411622110,2369000,183660,177461860,7559943.918495297,1771,501,22021,2836.539184952978,47940,480,60,150.282131661442,120,3974,8.03
Mar,03,25-72 hours,15,80986,24751191580,1040155000,245378950,5096071470,1650079438.6666665,4038,933,16390,5399.0666666666675,34400,3960,1510,2293.3333333333335,1900,208,7.21
Mar,03,72+ hours,1,2196,3938903200,3938903200,3938903200,3938903200,3938903200,2196,2196,2196,2196,5360,5360,5360,5360,5360,55,1.82
Mar,03,9-24 hours,46,142091,7741762150,91614715,21527680,916422930,168299177.17391306,1815.5,542,11832,3088.9347826086955,37530,1370,490,815.8695652173913,800,430,10.7
Mar,03,<= 8 hours,253,564745,1230154960,1535000,214200,109729200,4862272.569169957,1438,507,21287,2232.193675889328,34990,480,60,138.300395256917,100,3974,6.370000000000001
Apr,04,25-72 hours,2,7760,1912407300,956203650,553824000,1358583300,956203650,3880,2091,5669,3880,5300,2900,2400,2650,2650,208,0.96
Apr,04,9-24 hours,6,24300,1081437570,33211835,22393100,729076450,180239595,1279,626,18436,4050,4190,1190,500,698.3333333333334,570,430,1.4000000000000001
Apr,04,<= 8 hours,198,610213,1381438290,1710375,191880,124581120,6976961.060606059,1758.5,513,24424,3081.883838383839,25970,480,60,131.16161616161617,100,3974,4.9799999999999995
May,05,25-72 hours,1,9273,987060440,987060440,987060440,987060440,987060440,9273,9273,9273,9273,2390,2390,2390,2390,2390,208,0.48
May,05,72+ hours,1,2513,90304029200,90304029200,90304029200,90304029200,90304029200,2513,2513,2513,2513,21680,21680,21680,21680,21680,55,1.82
May,05,9-24 hours,11,86024,1599126340,45516360,20437450,900016920,145375121.81818184,1606,560,69159,7820.363636363638,7980,1120,540,725.4545454545455,690,430,2.56
May,05,<= 8 hours,302,911414,1431737710,1638575,190080,122770560,4740853.344370863,1745.5,500,31222,3017.9271523178813,37110,460,60,122.88079470198672,100,3974,7.6
Jun,06,25-72 hours,3,15586,2216461810,816136640,401430160,998895010,738820603.3333334,2068,1373,12145,5195.333333333333,7100,4010,1520,2366.6666666666665,1570,208,1.44
Jun,06,9-24 hours,19,62234,3789426600,71171500,21826070,2319873840,199443505.26315793,1574,569,25207,3275.473684210526,14630,1250,490,770,700,430,4.42
Jun,06,<= 8 hours,322,1053963,2042896030,2042775,192960,241574850,6344397.6086956505,1851.5,523,55584,3273.17701863354,43720,480,60,135.77639751552795,100,3974,8.1
Jul,07,25-72 hours,2,3438,1551501090,775750545,259890020,1291611070,775750545,1719,1407,2031,1719,5600,3610,1990,2800,2800,208,0.96
Jul,07,72+ hours,2,16190,91758705180,45879352590,11851508940,79907196240,45879352590,8095,5059,11131,8095,26120,19430,6690,13060,13060,55,3.64
Jul,07,9-24 hours,18,75735,3939957460,61297795,14360840,2554159930,218886525.55555555,1313.5,525,31877,4207.5,14350,1410,490,797.2222222222222,710,430,4.19
Jul,07,<= 8 hours,315,983960,2033965420,2369600,188820,110352060,6457033.079365081,1959,506,23845,3123.6825396825398,43380,480,60,137.7142857142857,110,3974,7.93
Aug,08,25-72 hours,13,115031,25425485160,1135914500,186063300,6303438550,1955806550.7692308,6300,959,27369,8848.538461538461,28530,2930,1450,2194.6153846153848,2360,208,6.25
Aug,08,72+ hours,4,20274,123630541240,14280114200,2935170840,92135142000,30907635310,6113.5,1848,6199,5068.5,35510,13200,4420,8877.5,8945,55,7.2700000000000005
Aug,08,9-24 hours,50,333793,15744343520,124090290,25698450,1669090410,314886870.4,3476.5,535,27299,6675.86,41450,1410,530,829,710,430,11.63
Aug,08,<= 8 hours,437,1925811,5128665070,3136840,180360,217962150,11736075.675057204,2060,501,72584,4406.890160183063,69930,480,60,160.02288329519456,130,3974,11
Sep,09,25-72 hours,24,287967,62792626880,1626005525,160335100,8268801900,2616359453.333333,5521.5,641,66018,11998.625,50780,3640,1480,2115.8333333333335,1775,208,11.540000000000001
Sep,09,72+ hours,8,77208,1741990676890,30431106810,4138550550,731579125900,217748834611.25,8383.5,1755,17002,9651,182480,59900,4670,22810,8805,55,14.549999999999999
Sep,09,9-24 hours,28,168654,8781612100,107584940,20456940,1410397330,313629003.5714286,3180.5,603,26919,6023.357142857142,22660,1370,490,809.2857142857143,755,430,6.510000000000001
Sep,09,<= 8 hours,266,983653,2078689510,2553660,188580,209912120,7814622.218045111,2012,507,50203,3697.943609022558,37240,480,60,140,110,3974,6.69
Oct,10,25-72 hours,87,1496923,841467680370,4410172250,192485020,62816737050,9672042303.103449,12139,640,74760,17206.011494252874,234500,4310,1460,2695.402298850575,2670,208,41.83
Oct,10,72+ hours,28,763085,2389072958180,55936078995,2433426210,623482116290,85324034220.71428,22598.5,899,105599,27253.035714285714,225790,26470,4530,8063.928571428572,6630,55,50.91
Oct,10,9-24 hours,44,417762,24888367960,172171730,19202400,5131246000,565644726.3636363,5258,505,53611,9494.590909090908,37370,1360,530,849.3181818181818,740,430,10.23
Oct,10,<= 8 hours,377,1713940,3765389810,2262700,196560,179150220,9987771.379310345,2157,501,62899,4546.2599469496,53100,470,60,140.84880636604777,110,3974,9.49
Nov,11,25-72 hours,18,160033,48551795970,1433838340,211006640,17511691590,2697321998.333333,5936,1483,30688,8890.722222222223,38680,4190,1480,2148.8888888888887,1740,208,8.649999999999999
Nov,11,72+ hours,3,54252,6455993321700,919013296680,26859335520,5510120689500,2151997773900,22417,6139,25696,18084,236130,178270,5870,78710,51990,55,5.45
Nov,11,9-24 hours,56,298969,15803657020,118585865,17794220,3356869100,282208161.0714286,2550,578,46778,5338.732142857142,47310,1410,490,844.8214285714286,805,430,13.020000000000001
Nov,11,<= 8 hours,457,1457923,3112478680,2195270,199440,293799100,6810675.448577673,1875,508,34208,3190.2035010940913,63540,480,60,139.03719912472647,110,3974,11.5
Dec,12,25-72 hours,10,159338,57996321620,3146624110,973857600,14474060130,5799632162,15172.5,794,27542,15933.800000000001,23140,3950,1460,2314,2080,208,4.81
Dec,12,72+ hours,2,1783,10225362340,5112681170,2764130170,7461232170,5112681170,891.5,797,986,891.5,15560,9690,5870,7780,7780,55,3.64
Dec,12,9-24 hours,45,570692,28913719960,108317080,15724000,4840365420,642527110.2222222,4355,634,133824,12682.044444444444,35680,1420,490,792.8888888888889,660,430,10.47
Dec,12,<= 8 hours,437,1666187,3644871050,2210800,181440,322414180,8340666.018306639,1998,504,114006,3812.7848970251707,62140,480,60,142.19679633867275,110,3974,11
