month_num,month,duration_cate,type,Count,TotalHU,CustomerOut,CustomerMinutes,MedCustomerMinutes,MinCustomerMinutes,MaxCustomerMinutes,AvgCustomerMinutes,MedCustomerOut,MinCustomerOut,MaxCustomerOut,AvgCustomerOut,TotalDuration,MaxDuration,MinDuration,AvgDuration,MedDuration,PctCustomerOut,PctDuration
01,Jan,25-72 hours,Not Wildfire-induced,13,11590,286023,25222837920,1720844820,271257240,5123374900,1940218301.5384614,13763,1264,140044,22001.76923076923,24610,3070,1450,1893.076923076923,1670,6.169607420189819,1.17
01,Jan,9-24 hours,Not Wildfire-induced,40,19079,148946,5485824390,89299710,24167600,419885780,137145609.75,3034,604,14420,3723.65,31140,1380,500,778.5,745,1.9517008228942816,1.48
01,Jan,<= 8 hours,Not Wildfire-induced,291,619166,884200,1622309800,1950900,180780,77579790,5574947.766323024,1535,503,71905,3038.4879725085902,41190,470,60,141.54639175257734,110,0.3570124974562557,1.96
02,Feb,25-72 hours,Not Wildfire-induced,20,19079,166538,61767124430,2369111555,150719280,12336719820,3088356221.5,7515,598,26706,8326.9,59420,4230,1530,2971,3030,2.182216049059175,2.83
02,Feb,72+ hours,Not Wildfire-induced,6,93927,94760,259330231530,19523535655,6915225540,173619948000,43221705255,13883.5,8359,30929,15793.333333333334,42230,11400,5290,7038.333333333333,6495,0.2522171473591193,2.01
02,Feb,9-24 hours,Not Wildfire-induced,67,619166,336573,15318146060,95320140,17465760,4274504860,228629045.67164177,2729,541,55380,5023.477611940299,54470,1340,490,812.9850746268656,760,0.13589772371221934,2.59
02,Feb,<= 8 hours,Not Wildfire-induced,319,619166,904856,2411622110,2369000,183660,177461860,7559943.918495297,1771,501,22021,2836.539184952978,47940,480,60,150.282131661442,120,0.3653527486974414,2.2800000000000002
03,Mar,25-72 hours,Not Wildfire-induced,15,19079,80986,24751191580,1040155000,245378950,5096071470,1650079438.6666665,4038,933,16390,5399.0666666666675,34400,3960,1510,2293.3333333333335,1900,1.0611929346401803,1.6400000000000001
03,Mar,72+ hours,Not Wildfire-induced,1,29159,2196,3938903200,3938903200,3938903200,3938903200,3938903200,2196,2196,2196,2196,5360,5360,5360,5360,5360,0.018827806166192257,0.25
03,Mar,9-24 hours,Not Wildfire-induced,46,1822,142091,7741762150,91614715,21527680,916422930,168299177.17391306,1815.5,542,11832,3088.9347826086955,37530,1370,490,815.8695652173913,800,19.49656970362239,1.79
03,Mar,<= 8 hours,Not Wildfire-induced,253,619166,564745,1230154960,1535000,214200,109729200,4862272.569169957,1438,507,21287,2232.193675889328,34990,480,60,138.300395256917,100,0.22802649047266807,1.66
04,Apr,25-72 hours,Not Wildfire-induced,2,93927,7760,1912407300,956203650,553824000,1358583300,956203650,3880,2091,5669,3880,5300,2900,2400,2650,2650,0.02065433794329639,0.25
