NAME,NAMELSAD,wui_area,cdp_area,pct_wui_area
Acalanes Ridge,Acalanes Ridge CDP,1139219.82383312,1193569,95
Acton,Acton CDP,80354431.29431997,101679451,79
Adelanto,Adelanto city,19590828.564870752,136923866,14.000000000000002
Adin,Adin CDP,3837125.629841296,7587701,51
Agoura Hills,Agoura Hills city,13995952.752943685,20189517,69
Agua Dulce,Agua Dulce CDP,44017788.13996309,59181047,74
Aguanga,Aguanga CDP,24079102.48133707,35222110,68
Ahwahnee,Ahwahnee CDP,28328638.920558523,29896182,95
Alamo,Alamo CDP,23256938.59729027,25422415,91
Albany,Albany city,412761.1581092489,4636032,9
Albion,Albion CDP,4701873.652392692,4701873,100
Alderpoint,Alderpoint CDP,1044302.2708913003,6288254,17
Alhambra Valley,Alhambra Valley CDP,2852442.941080794,4181518,68
Aliso Viejo,Aliso Viejo city,10107590.521548098,17937313,56.00000000000001
Alleghany,Alleghany CDP,690674.3817582253,904298,76
Allendale,Allendale CDP,15685396.246602263,15892908,99
Almanor,Almanor CDP,107600.03073213482,2287751,5
Alpine,Alpine CDP,45791460.2717296,69374324,66
Alpine Village,Alpine Village CDP,6887100.58958486,10569744,65
Alta,Alta CDP,6173301.578658545,6173301,100
Alta Sierra,Alta Sierra CDP,22746334.29884263,21551268,106
Altadena,Altadena CDP,18837271.553798996,21925894,86
Alto,Alto CDP,288521.72109532176,325686,89
Alturas,Alturas city,6144120.591951574,7345639,84
Alum Rock,Alum Rock CDP,1537498.4839010402,2250531,68
Amador City,Amador City city,792988.7149917373,801747,99
Amador Pines,Amador Pines CDP,11931679.381294748,12561595,95
American Canyon,American Canyon city,9713577.47305062,15763118,62
Amesti,Amesti CDP,5709335.812113512,7612130,75
Anaheim,Anaheim city,18107930.481481582,130206498,14.000000000000002
Anchor Bay,Anchor Bay CDP,9065163.144226238,9097805,100
Anderson,Anderson city,12883197.804456785,18210820,71
Angels,Angels city,7891706.129079121,9407811,84
Angwin,Angwin CDP,11029468.495473769,12507052,88
Antelope,Antelope CDP,552980.6139197223,17705728,3
Antioch,Antioch city,33704951.72985918,75552859,45
Anza,Anza CDP,48005234.448443994,71470883,67
Apple Valley,Apple Valley town,116178976.82134861,199444691,57.99999999999999
Aptos,Aptos CDP,14362279.111709462,17037116,84
Aptos Hills-Larkin Valley,Aptos Hills-Larkin Valley CDP,23258701.14710034,23984497,97
Arcadia,Arcadia city,8313055.562827965,28300749,28.999999999999996
Arcata,Arcata city,14516997.382466506,24399923,59
Arnold,Arnold CDP,19912600.540271487,23482385,85
Aromas,Aromas CDP,12163044.827984639,12263807,99
Arroyo Grande,Arroyo Grande city,13302969.714339737,15382200,86
Ashland,Ashland CDP,40290.33317081302,4772238,1
Aspen Springs,Aspen Springs CDP,1744960.5443729204,9287926,19
Atascadero,Atascadero city,61197903.63361217,67524871,91
Atherton,Atherton town,3106633.797798315,12991701,24
Auberry,Auberry CDP,59717190.759720705,120251753,50
Auburn,Auburn city,14667380.486660162,18588528,79
Auburn Lake Trails,Auburn Lake Trails CDP,30165495.131122492,32963739,92
Avalon,Avalon city,3750654.6126397895,7473920,50
Avenal,Avenal city,9992144.62344096,50459974,20
Avery,Avery CDP,3552038.491065632,5449102,65
Avila Beach,Avila Beach CDP,11565547.961848773,15766061,73
Avocado Heights,Avocado Heights CDP,4675156.711987168,5829186,80
Azusa,Azusa city,11864850.445018377,25022011,47
Baker,Baker CDP,2094557.547788864,6961528,30
Bakersfield,Bakersfield city,44604169.989156514,387916575,11
Bakersfield Country Club,Bakersfield Country Club CDP,1963095.8898073763,1963093,100
Ballard,Ballard CDP,7185009.158724212,7236936,99
Bangor,Bangor CDP,17196689.94251284,34765044,49
Banning,Banning city,32427030.781500548,60183802,54
Barstow,Barstow city,37296037.392330736,106964252,35
Bass Lake,Bass Lake CDP,2255761.1831614,4874800,46
Bay Point,Bay Point CDP,8577111.55580981,16643645,52
Bayview,Bayview CDP,1893289.0557038928,1895402,100
Baywood Park,Baywood Park CDP,1251545.8910974169,1421591,88
Beale AFB,Beale AFB CDP,10081920.159888212,26139571,39
Bear Valley,Bear Valley CDP,5731562.944444644,13352822,43
Bear Valley Springs,Bear Valley Springs CDP,63681363.15255232,100685639,63
Beaumont,Beaumont city,42061021.25064331,78521803,54
Beckwourth,Beckwourth CDP,18933188.137675017,30257790,63
Belden,Belden CDP,508303.51235613495,1578657,32
Bell Canyon,Bell Canyon CDP,6812318.883311797,9428673,72
Bella Vista,Bella Vista CDP,48333546.01374927,68485004,71
Belmont,Belmont city,4844548.785140565,11990538,40
Ben Lomond,Ben Lomond CDP,17719810.10657782,21674901,82
Benbow,Benbow CDP,5376852.369414101,12641980,43
Bend,Bend CDP,5661417.162408937,7548202,75
Benicia,Benicia city,9854385.9931194745,33185400,30
Benton,Benton CDP,6008731.763143293,73732744,8
Berkeley,Berkeley city,8789937.118899431,27018309,33
Berry Creek,Berry Creek CDP,53689376.84103092,147940054,36
Bertsch-Oceanview,Bertsch-Oceanview CDP,7965405.129513471,13727497,57.99999999999999
Bieber,Bieber CDP,152299.50076613174,8944480,2
Big Bear City,Big Bear City CDP,30658683.162765745,82917622,37
Big Bear Lake,Big Bear Lake city,15155238.01936925,16164304,94
Big Bend,Big Bend CDP,1175243.9369017351,14852515,8
Big Creek,Big Creek CDP,151089.51498310553,1191495,13
Big Lagoon,Big Lagoon CDP,1459534.2660670336,1573136,93
Big Pine,Big Pine CDP,2252495.1125610443,7636605,28.999999999999996
Big River,Big River CDP,14609089.210494248,28050915,52
Bishop,Bishop city,1468293.3838206772,4827233,30
Black Point-Green Point,Black Point-Green Point CDP,4485738.36682176,7322458,61
Blackhawk,Blackhawk CDP,13822174.458054837,14958249,92
Blacklake,Blacklake CDP,1263758.5503894906,2707660,47
Blairsden,Blairsden CDP,401774.88134684594,1402709,28.999999999999996
Bloomfield,Bloomfield CDP,7721273.305453434,21076160,37
Bloomington,Bloomington CDP,10754764.29960838,15726088,68
Blue Lake,Blue Lake city,969918.4744986902,1537386,63
Bluewater,Bluewater CDP,1382740.5491466806,2711814,51
Blythe,Blythe city,3001240.367944697,68849468,4
Bodega,Bodega CDP,4831263.184755435,7515783,64
Bodega Bay,Bodega Bay CDP,10374321.052579047,21612540,48
